,いちゃいちゃべたべた,いちゃいちゃぺろぺろ,うきうきるんるん,うきうきわくわく,うじうじごちゃごちゃ,うじゃうじゃぞろぞろ,うねうねもじもじ,うろうろきょろきょろ,うろうろぐるぐる,うろうろそわそわ,うろうろふらふら,がくがくぶるぶる,がつがつもぐもぐ,がりがりごりごり,がりがりばりばり,きゃーきゃーぎゃーぎゃー,ぎちぎちみしみし,くんくんぺろぺろ,ぐだぐだごろごろ,ぐちゃぐちゃばらばら,ぐるぐるびゅんびゅん,こそこそきょろきょろ,こそこそにやにや,さらさらつやつや,すべすべぷるぷる,そろそろるんるん,そわそわうろうろ,そわそわもじもじ,ちらちらぱたぱた,つやつやさらさら,つやつやてかてか,つるつるぴかぴか,どきどきわくわく,どんどんうきうき,どんどんがんがん,どんどんばんばん,どんどんぱらぱら,どんどんぶかぶか,にこにこきらきら,にやにやにたにた,にゅるにゅるびりびり,ぬめぬめぺたぺた,ぬるぬるてらてら,はらはらどきどき,ばっさばっさばさばさ,ばらばらがたがた,ばらばらどろどろ,ばりばりもしゃもしゃ,ばんばんびゅんびゅん,ひそひそかたかた,ひらひらくるくる,びくびくおどおど,びくびくぶるぶる,ぴかぴかつやつや,ぴょんぴょんぶらぶら,ふかふかふさふさ,ふわふわぽかぽか,ぶんぶんぐるぐる,ぷるぷるつやつや,ぽんぽんさわさわ,むしゃむしゃぱりぱり,もじゃもじゃちくちく,ゆるゆるでれでれ,わいわいがやがや,わくわくどきどき
N0682DPmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8030DYmid,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5880ENmid,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0741ETmid,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,
N5117EJmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
N0596COmid,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9187EOmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
N4797BBmid,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,
N9458CImid,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
N7374DZmid,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7837EGmid,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
N3356EJmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
N4452ELmid,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
N6284EHmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
