,アップアプ,アーカン,アークラ,アーグラ,アータラ,アーブラ,アーブル,アーポン,アーユル,イソフラ,イラクサ,ウキチロ,ウジギク,ウジャウジ,ウマクサ,ウラジー,ウンアプ,ウングー,ウンゴー,ウンタラ,ウンチク,ウンチン,ウンドキ,ウンドク,ウンドシ,ウンドタ,ウンドボ,ウンヒラ,ウンワー,エングリ,エンゴロ,エンジン,エンドロ,エンベロ,エンペッ,エンペラ,オイスタ,オタマジ,オメツケ,オロギー,オロチョン,オンガー,オンキリ,オンスー,オンプラ,オンボロ,カサブラ,カステラ,カタクリ,カタコト,カチコチ,カチャカチ,カッチー,カッパー,カッピン,カップラ,カップリ,カップル,カッポカ,カラクリ,カラボリ,カランカラ,カリクル,カリタッ,カリブー,カンコン,カンジュー,カンテラ,カントン,カンバン,カンパチ,カンベン,カーゴシ,カービン,カーペッ,カーボン,カーンカー,ガクブル,ガサゴソ,ガタキシ,ガタパー,ガタピシ,ガチャガチ,ガラクタ,ガラスレ,ガラスー,ガリスク,ガリバリ,ガリポリ,ガングー,ガンジー,ガーデン,ガーリン,キコモリ,キャッサバ,キャッチー,キューコン,キューパー,キューピッ,キラワク,キリオン,キリボー,キンカツ,キンカン,キンクリ,キングス,キングタ,キンコン,キンシコ,キンシッ,キンブルン,キーアー,キージャン,キーパー,キーボー,キーポイ,キーワー,ギコバタ,ギトゴテ,ギリスポ,ギリワン,クスカリ,クスクリ,クスクー,クスグリ,クスシー,クススパ,クスブリ,クタウン,クタクル,クタワー,クダウン,クッキリ,クッキン,クッキー,クッサク,クラウン,クラシッ,クラシー,クラスタ,クリアー,クリオロ,クリスタ,クルコン,クルシュー,クルスク,クルセカ,クンドク,クンドン,クンハー,グスカー,グスクー,グストロ,グスペッ,グラウン,グリキャッ,グリゴリ,グリボー,グルカン,グルマザ,グルメリ,グルングル,グーグル,グーパン,グーパー,ケタガラン,ゲーチー,ゲートボ,ゲーピン,ゲームク,ゲーリン,コッキン,コックラ,コックリ,コットン,コテンパン,コロジー,コロンブス,コンカラ,コンカン,コンキラ,コンキン,コンギス,コンクリ,コングリ,コンスタ,コンチン,コントロ,コンドロ,コンドー,コンパク,コンパッ,コンビー,コンピュー,コンプラ,コンプリ,コンポー,ゴクリゴク,ゴシポー,ゴチャゴチ,ゴーグル,ザーガン,ザーグー,ザーワー,シックス,シックリ,シックル,シャンカシャ,シャンパン,シャンプー,シャープス,シャーペン,シュンベリ,シュークリ,シーガー,シーキン,シーザー,シーズン,ジャンキー,ジャングル,ジャンスー,ジャンボタ,ジャーアプ,ジャーキー,ジャークラ,ジャージー,ジャーボー,ジャーンジャー,ジューシー,ジューリン,ジンガー,ジンギス,ジングサ,ジングビ,ジンジャー,スイカッ,スイノシ,スイビー,スイフク,スカイラ,スカウト,スカウン,スカゲラ,スカパー,スカベン,スカリン,スクリーン,スクワイ,スクワー,スタドー,スパイラ,スポワー,スラスタ,スレチッ,スーパー,スープカ,スーポー,ズタボロ,ズンバラ,ソロジー,ソロバン,タヂカラ,タッキー,タックル,タッチャブ,タッパー,タッフー,タップリ,チッピン,チップス,チビチチ,チャラカス,チューリン,チョコプリ,チラリチラ,チリパチ,チンギス,チンタラ,チンチクリ,チンチロ,チンドン,チンパン,チンピラ,チンワー,ツヤテカ,ツラウツラ,ツルペタ,ツンガツ,ツンデレ,ツーカー,ツートン,ツーリン,テクノロ,テラシー,テラニャー,デカチン,デカブツ,デコピン,デコボコ,デレクタ,デンブル,デンプン,デンリン,トコトン,トコピー,トログリ,トロチッ,トロピカ,トロフワ,トロポリ,トンエン,トンカツ,トンカー,トンクラ,トンコツ,トンコン,トンスタ,トンタッ,トンチッ,トンチン,ドカメラ,ドキハラ,ドサクサ,ドスチー,ドスピン,ドタソワ,ドタドタッ,ドタバタ,ドロカン,ドロゴテ,ドンガラ,ドンキン,ドングリ,ドンパチ,ドンピシ,ドンブラ,ドンブリ,ドーピン,ドーワイ,ドーンドー,ナミザク,ニコチン,ノオサラ,ハッキリ,ハッスル,ハッピー,ハラキリ,ハラドキ,ハーコン,ハーシー,ハードカ,ハードボ,ハープー,バカスカ,バカデカ,バキドカ,バシャバシ,バタフラ,バタリオン,バチカン,バリアー,バリカン,バリスタ,バリゼー,バリトン,バリボリ,バンカー,バンクー,パシャパシ,パチクリ,パチャパチ,パッカー,パッキン,パッチリ,パットン,パッパカ,パッパー,パラクラ,パラシュー,パラスル,パラワン,パンカー,パンクタ,パンゲー,パーカッ,パーキン,パークラ,パーチン,パーチー,パープラ,パープル,ヒョロガリ,ヒーカッ,ヒーハー,ヒーリン,ビシバシ,ビショビシ,ビラウン,ビングダ,ビンスク,ビーカス,ビーカー,ビーシー,ビーチチ,ビーチマ,ビードロ,ビーハー,ビーブー,ビーメリ,ピカゴロ,ピカリボー,ピクリン,ピタリピタ,ピンキリ,ピンクサ,ピンコッ,ピンポイ,ピンポン,ピーアー,ピーカー,ピーキー,ピーピン,ピーリン,フンドシ,ブツクサ,ブラウン,ブラギリ,ブラコン,ブラザー,ブラジャー,ブラブル,ブリエン,ブリオン,ブリカス,ブリガー,ブリザー,ブルカラ,ブルガリ,ブルクラ,ブルゲー,ブルコン,ブルジャン,ブルスタ,ブルスー,ブルトン,ブルドー,ブルパン,ブルビー,ブルピー,ブルボン,ブンカー,ブースタ,ブービー,ブーメラ,プスピー,プスブル,プチブル,プラウト,プラシー,プラゼー,プリズン,プリチー,プンスカ,プーチン,ベトガー,ベトコン,ベラドン,ベラリン,ベリスク,ベロドロ,ベロンベロ,ベンガラ,ベンジャー,ベントク,ベントコ,ベントロ,ペックス,ペックダ,ペッタンペッ,ペットボ,ペッパー,ペラグラ,ペンデン,ペントロ,ペンハー,ペンブル,ホイザー,ホイジン,ホログラ,ホロフカ,ボソガラ,ボロカス,ボンキュッ,ボンクラ,ボンソワ,ボンブル,ボーイソ,ボーデン,ボーリン,ポツリポツ,ポリピッ,ポロンポロ,ポンコツ,ポンツー,ポンドク,ポンドス,ポンドブ,ポーカー,ポージン,ポーハタ,マザクラ,マザコン,マジシャン,マジパン,マルガリ,マルキン,マルクス,マルゴー,マルチリ,マルバカ,ミシシッ,ムズアップ,メキシコ,メソポタ,メタボリ,メチャクチャ,メリカン,ヨロシク,リンエン,リンカリ,リンカン,リンカー,リンガー,リングラ,リングリ,リングー,リンスタ,リントコ,リントロ,リントン,リンピッ,リンピー,リンブル,リーンエン,リーンペッ,リーンリン,ワイガヤ,ワイドシ,ワクチン,ワクテカ,ワンクッ,ワンクリ,ワンシー,ワンチン,ワンツー,ワンパタ,ワンパン,ワンピー,ワンポイ,ワーアップ,ワーカー,ワークス,ワークラ,ワースポ,ワーバラ,ワープラ,ワーポイ
N0677EMkata,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,21.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,6.0,,,,,1.0,,,1.0,,,,,5.0,,1.0,,4.0,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,2.0,,,6.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,27.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,10.0,,,,,,20.0,,,,,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,2.0,
N8406BMkata,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,3.0,31.0,,,,,52.0,,,,1.0,,,,,,,,,6.0,,,10.0,,,,,,,,,,,,4.0,,1.0,,,1.0,,,,,,1.0,,,4.0,1.0,1.0,,,,,,,,,5.0,1.0,,,,,,,,,1.0,,,,,,,,2.0,14.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,3.0,,,5.0,,,,,,33.0,,,7.0,10.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,7.0,2.0,,,,,,,1.0,,,,4.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,3.0,,,,,,,,,2.0,,1.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,1.0,,,,,1.0,,,2.0,,,,3.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,3.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,2.0,,,,,,,,,3.0,,3.0,1.0,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,6.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,11.0,,,,,,,2.0,,,16.0,,,,,,,,1.0,,3.0,,,,,,,5.0,,,,,,,,2.0,,,,1.0,,,1.0,1.0,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,4.0,,,2.0,,,,,1.0,,,,,,,,3.0,,
N4960ENkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,51.0,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,3.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,7.0,,,,,,,,,,,,7.0,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,
N0658DUkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8720EFkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7300ELkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2509CRkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,15.0,2.0,,,,,,,,,,,,,6.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
N0472EMkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,10.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0801EJkata,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
N4994EVkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
