,うじうじびくびく,うまうまゆるゆる,うろうろおろおろ,うろうろころころ,がたがたぶるぶる,がりがりごりごり,がんがんばりばり,きょろきょろするする,ぐだぐだねちねち,ぐるぐるちょろちょろ,ごりごりもしゃもしゃ,ごろごろころころ,そろそろぼちぼち,そわそわふわふわ,どきどきはらはら,どきどきびくびく,どんどんばんばん,にこにこゆるゆる,はらはらどきどき,ぱくぱくむしゃむしゃ,ひそひそこそこそ,ひそひそぼそぼそ,びくびくおどおど,ぴちゃぴちゃがらがら,ぴょんぴょんくるくる,ぷるぷるとろとろ,へらへらふらふら,もじもじそわそわ,わいわいがやがや,わくわくそわそわ,わくわくどきどき,わーわーきゃーきゃー
N9427BVmid,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,
N9395DDmid,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
N8536DGmid,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
N3003CWmid,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,
N4954DSmid,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
N8741CXmid,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7921BUmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
N8486BKmid,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
N2211ERmid,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
N3197EWmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
N7248ELmid,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
N3488CFmid,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8676BOmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
N2201EGmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
N8682EDmid,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
N4442DDmid,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0
N6613CWmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
N7020EXmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
N7291DVmid,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
N5708CRmid,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3733CKmid,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
N0200DRmid,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
N1431CHmid,,1.0,2.0,,,,,,1.0,1.0,1.0,,,,,,2.0,,,,,,1.0,,,,1.0,,,,,
N6715CBmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
