,うきうきどきどき,うきうきわくわく,かんかんがくがく,がくがくぶるぶる,がちゃがちゃごそごそ,きょろきょろそわそわ,きりきりかりかり,ぐじぐじうじうじ,ごろごろだらだら,どきどきわくわく,にこにこにやにや,にやにやもじもじ,はらはらどきどき,ひりひりちくちく,ぺらぺらぽんぽん,もじゃもじゃぼーぼー,もたもたぐずぐず
N9465DYmid,,,,,1.0,,,,,,,,,,1.0,,
N7199EUmid,,,,,,,1.0,,,1.0,,,,,,,
N2587CBmid,,,,,,1.0,,,,,,,,,,,
N3733DSmid,,,,,,,,,,,,,1.0,,,,
N4432DKmid,1.0,1.0,,,,,,,,,,1.0,,1.0,,1.0,
N3252DEmid,,,,,,,,1.0,,,,,,,,,
N1165BVmid,,,,1.0,,,,,,,,,,,,,
N4600CCmid,,,,,,,,,,,1.0,,,,,,
N9636Xmid,,,,,,,,,1.0,,,,,,,,
N1441DSmid,,,,,,,,,,,,,,,,,1.0
N0150EPmid,,,1.0,,,,,,,,,,,,,,
