,いじめた,いじめら,いそうだ,いそうら,うかすら,うきこと,うきでか,うきにた,うじゃうじ,うだから,うだよぼ,うところ,うとしな,うとする,うとすれ,うとびく,うはかっ,うはへな,うまけた,うまぼろ,うよばか,うよもそ,うらはら,うらふく,うろぼろ,えんごく,えんじん,えんどろ,おいがた,おいしく,おいとこ,おいまじ,おちかた,おちこん,おちつけ,かすがや,かすこと,かたかん,かたくり,かたしく,かたねと,かたぶく,かたむく,かためら,かちでか,かったっ,かったど,かったら,かってく,かっぷつ,かっぷる,かつくど,からうろ,からきこ,からくら,からくり,からこそ,からこん,からすた,からすべ,からする,からどーん,からのお,からのそ,からはき,からはっ,からふわ,からべと,からぼん,からぽた,からもさ,かりうき,かりがさ,かりがみ,かりきり,かりのし,かーぺん,がくうき,がたかす,がたくさ,がたのし,がちぎり,がちくっ,がつけた,がつけば,がぶつか,がみつけ,がやくた,がらすい,がらすか,がらふつ,がらぽつん,がりのお,がりばか,がんばら,がんばり,きしめた,きしめら,きらめき,きんしっ,きーぱー,きーびし,きーぼー,ぎりばか,くさかっ,くさがく,くしゃぼん,くすから,くすきー,くすくら,くすこと,くたぎり,くだから,くだけた,くっきり,くったっ,くつのし,くらがつ,くらこと,くらすか,くりする,くること,くるでれ,くんする,くんとく,ぐいけば,ぐさめら,ぐつけろ,ぐらうん,ぐるしく,けたかっ,けたこと,げたこと,げたすー,こそすれ,ことから,ことがつ,ことくら,ことぐら,ことこそ,ことさら,ことしな,ことすら,ことだら,ことはた,ことばか,ことばた,こともた,こともや,こりする,ころから,ころがつ,ころこそ,ころすべ,ころのお,ころへと,ころぼそ,こんかす,こんがり,こんくり,こんとろ,ごそうか,ごとしげ,ざわつか,ざわめき,ざーぐー,ざーびー,しおでこ,しくしな,しくする,しこうか,しこころ,しこわい,しっかり,しっくり,しなかっ,しながら,しなくちゃ,しなこと,しゃんぱん,しゃんぷー,しゅんかん,しーがつ,じめにた,じゅーしー,すいとこ,すくりーん,すたさら,すべなみ,すべのし,するから,すること,するなよ,すれがち,すれぐさ,すればき,ずらくん,せかいちゃ,せかけた,たっくさ,たったら,たっぷり,たらしく,たらちっ,たらぶる,だらけた,だらしな,ちかから,ちかづけ,ちょこちょい,ちらしな,つかがや,つかたど,つかめそ,つけてく,つけぶり,つらかっ,つらから,つらきし,つらくさ,つらしと,つらふつ,つんこつん,てかばん,てくりーん,てくるん,でかがや,でこころ,でこちら,でれとろ,とげざら,とこころ,とことん,とろぬく,どかしく,どきしな,どきする,どきふら,どしゃぶり,どたばた,どやめた,どろおど,どんぐり,どんちか,どんぶら,なみのお,にこなみ,にたへた,ぬくもり,ぬめぐり,ねばかた,のおちゃら,のおばか,のおばさ,のおばち,のおもさ,のしかた,のしばし,のそのし,はきづか,はっきり,はっぴー,はらから,ばしする,ばしばか,ばたかす,ばたくた,ばたふら,ばらがみ,ばらしな,ばんぐん,ばんぶつ,ぱっきー,ぱーとん,ひくしお,ひしばか,ひそふら,ひたすら,ひたぶる,ひらから,ひらりひら,びしくっ,びしょびし,びたかっ,びたこと,びーぶる,ぴくしー,ぴちゃぽちゃ,ぴりおど,ぴんとく,ぴーかー,ふかきち,ふかのお,ふかぶか,ふがつら,ふくから,ふさぎこ,ふらさわ,ふわりふわ,ふんころ,ふんどし,ぶつかっ,ぶつかり,ぶつけた,ぶらうん,ぶらりゆら,ぶること,ぶーばん,ぷりがた,ぷりつか,へとちり,べたかっ,べたちょこ,べりずき,ぺっとぼ,ほかにこ,ぼやけた,ぼろしな,ぽかのお,ぽくする,ぽつりとこ,ぽつんぽつ,まちくた,まるくす,まること,まるごと,まるじめ,まるでこ,まるとこ,まるばか,みしがり,むらじと,むんがん,めたかっ,めたから,めたこと,めたつけ,めたばか,めらわな,もおべん,もおゆる,もくのし,もさゆる,もじしな,もそうだ,もぞする,もたくさ,もたのし,もたびた,ゆらりゆら,よたのし,よろしく,りんすた,りんぴっ,りーんちり,わいから,わいくっ,わいこと,わいてく,わいとく,わいぱー,わくする,わなかっ,わんばか,わーすら
N1830ELline_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['自分がつけた見えない１ぶくまが残る'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['ひたすら最新話を投稿しようじゃないか'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['合わなかった人が去っていくのは仕方がないこと'],,
N0658ETline_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000泡沫に浮きつ沈みつしながら。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ふつらふつらと泡が踊るのに。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ひらりひらひら。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000いろはにほへとちりぬるを\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1467ETline_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000誰からもさいんなどもらえず、'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6426EVline_info,,['学校でいじめられたり、'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3031EDline_info,,['ぶたれておこられいじめられたの\n'],['ぜったいそうだよだってぼくもいつも\n'],,,,['きはくでくうきでかすみなまま\n'],,,,['そりゃあそうだよぼくは石。\n'],,,,,,['きのうはかった\u3000きょうまけた\n'],,['きのうはかった\u3000きょうまけた\n'],,,,,,,,,,,['ちいさくてたべてもおいしくない\n'],,,,"['しゅんっておちこんだてんし\u3000すこしうすぐらくなった\n', 'おもっててもそうなれないしすぐおちこんじゃう\n']",['ほしとくもがおちつけてくれるから\n'],,,['みかたみえかたかんがえかた\n'],,,,,,['ほとんどがふみかためられたもので\n'],,['あえてよかったっておもわれたい\n'],,,,['まぐかっぷつつみこむ\n'],,,,['とおくのほうからきこえてくるのは\n'],,['ずっとずっとまえからくりかえされ\n'],"['［＃中見出し］だからこそ［＃中見出し終わり］\n', 'だからこそのねがい\n', 'でもだからこそぼくはいいたい\n', 'でもだからこそぼくはいいたい\n']",,,,['こころんうちからするこえに\n'],,['くもまからあったかいひかり\u3000かみさまからのおくりもの\n'],,,['あるのはそのねつりょう、だきあうからだからはっせられるそのねつりょう。\n'],,,,['うえからぽたぽたしずくでぬれるくつ\n'],,,['ひかりがさしこんできた\n'],['ひかりがみえてくるはず\n'],['しがらみどろぬまつかりきり\n'],['がんばりすぎないでいい\u3000すこしだけひかりのした\n'],,['ひかりのやりがくうきふるわすおと\n'],['きみのすがたかすかにしかうかばない\n'],['それからともだちがたくさんふえてった\n'],['きょうがたのしかったり\n'],,,,,,,"['きみのなみだやがんばり\u3000かがやくためにまいにち\n', 'かがやくためひかりあび\u3000きみにすこしちかづける\n']",,,,,,,,"['がんばりすぎるのってもうしょうぶん\n', 'だいじにしますおべんきょもがんばります\u3000だから\n', 'きみのなみだやがんばり\u3000かがやくためにまいにち\n', 'がんばりすぎないでいい\u3000すこしだけひかりのした\n']",,,,,,,,,,,,['きもちはきょりをなくすから\n'],,,,,['こんなぼくだから\n'],,,['すすんでなくったっていんじゃん\n'],['みえたのわたしのくつのした\n'],['あたらしくぼくらがつくったもんじゃない\n'],,,,,,,,,,,,,,,,,,,['いきることがつらいとおもう\n'],,,,,,,"['わかんないことだらけのまいにち\n', 'ほんとおにいらないことだらけのなかにもほんのすこし\n']",,,,,,,,['こころがつながっていて\n'],,['このからだこころすべてがいっさい\n'],['きみのうたこころのおと\n'],,['ぼくたちはこころぼそくなって\n'],,,,,,,,,,,,,,['おもっててもすぐおこっちゃうしこうかいばかり\n'],,['ふるえないでよわたしこわいひとみたい。\n'],,['よすぎてもわるすぎてもな\u3000なんかしっくりこないよな\n'],['ありもしなかったいまをのぞむぼくの\n'],['おんなじにそらみあげてゆびさしながら\n'],['しなくちゃならないこと\n'],['だいしなことはなんだ\n'],,,['ほんのちょっとしたしゅんかん\n'],,['ふだんまじめにたまにはめはずす\n'],,,,,,,['ぼくもそうするから\n'],,,['わすれがちなぼく\n'],,,,['あせかいちゃうよね\n'],,,"['あったかいえがおとしたったらずのことば\n', 'ただあるのはきみのえがおとしたったらずのことば\n']",,['あたらしくぼくらがつくったもんじゃない\n'],,['まんまかじったらぶるっとするし\n'],,,,['かがやくためひかりあび\u3000きみにすこしちかづける\n'],,['わがみのはなをちらしなく\n'],['ひとつひとつかがやくにじのしずく\n'],,,,,"['いたかったねつらかったねかなしかったんだね\n', 'つらかったのがうそみたい\n', 'きのうがつらかったり\n']",,,,,,,,,,"['［＃中見出し］そこでかがやくきみが［＃中見出し終わり］\n', 'そこでかがやくきみが好きだから！\n']",,,,,,,,['もどかしくって\n'],['なにをしてもどきどきしなくなってて\n'],,,,,,,,['どんどんちかづくじめん\n'],"['どっぷりつかってどんぶらながされて\n', 'どっぷりつかってどんぶらながされて\n']",,['にこにこなみらいをゆめみてますし\n'],,"['きみのやわらかなぬくもり\n', 'よこにしてぬくもりを\n', 'やわらかいけのぬくもり\n', 'ちいさいきみのてがぬくもり\n', 'ああそうさ、ぼくのまわりじゅうすべて、よこにいるきみも、そのめにうつるぼくも、つなぐても、ぬくもりも、あせも、といき、かおり、こえ。\n']",,,,,,,['いのちのおもさにかわりなし\n'],,,,['そんなぼくはきづかない\u3000きみのかなしみやつらさ\n'],,['はっぴーなまいにちにあこがれてます\n'],,,,"['よつあしやはねはばたかすこも\n', 'わたしははねはばたかす\n']",,,['いまでもいばらがみえる\n'],['きばらしなんてできないよ\n'],,,,,,,,,,,,"['さびしくってかなしくってやりきれないあじけない\n', 'さびしくってかなしくってせつないきづいて\n']",,,,,,,,,,,,['ぼくのむなもと\u3000ふかぶかささった\n'],,,['おもいでににげこんでふさぎこんで\n'],,,,,,,,,,,,,"['どっぷりつかってどんぶらながされて\n', 'どっぷりつかってどんぶらながされて\n']",,,,['おしゃべりずきがふえてった\n'],,,,['まぼろしなんだってかんじたことないか\n'],['ぽっかぽかのお布団だから\n'],,,,,,,,['めのまえにせまるじめん\n'],,['つまるところ\n'],,['\u3000かみさまはさみしがりやさん。\n'],,,,,,,,,['ぼくもおべんきょきらいだよ\u3000せんせによくしかられる\n'],,['かけられたぶんだけおもくのしかかって\n'],,,,,,['そうだねいっしょにしたらきっと\u3000おべんきょもたのしくなる\n'],,,['いっしょにいたらきっと\u3000わたしもいろんなことまなべるよたのしそう\n'],,,,,['ばらばらになるのがこわいから\n'],['さしだされたてやわらかくって\u3000えがおのてんしがかわいくって\n'],,,,,,['それしかおもわなかったわたし\n'],,
N8068EIline_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000場所を選ぶことすらない'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ぶつかったり'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2126BBline_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000小学生のころから付き合いのある男友達は'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1318EIline_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['「きみの手のぬくもりで'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4164EKline_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['流しながら歩くのだ', '血を流しながらも']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9010ENline_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000楽しそうにしなくちゃいけない'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
