,ウロボロ,エンドロ,カップル,カーペン,キンシッ,キーパー,キーボー,クスクラ,クントク,グラウン,コンクリ,コントロ,ザーグー,ザービー,シャンパン,シャンプー,ジューシー,スクリーン,スタサラ,スーパー,ドタバタ,ハッキリ,ハッピー,バタフラ,パッキー,パートン,ビーブル,ピクシー,ピチャポチ,ピリオド,ピーカー,フラサワ,フンコロ,ブラウン,ブーバン,ペットボ,ムンガン,リンスタ,リンピッ,ワイトク,ワイパー,ワースラ
N4080EKline_info_k,,,,,,,,,,['誰もいないグラウンド\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4312EHline_info_k,['・中二病患者は、「無限」という言葉に弱い。ウロボロスとかメビウスとか…。\n'],,,,,['・某サッカーアニメのゴールキーパーさんのアレみたいな感じ。ボールを受け止める為ではないし、神の手でもない。\n'],,['・この詠唱の最後は、叫ぶくらいが丁度いいと思う。エクスクラメーションマークがつくくらいの大声で。というか、最後だけ叫ぶというより、初っ端から叫んでいるような気もする。\n'],,,['・木材には干渉できないけれど、コンクリだったらいけるだろうか。\n'],"['電気操縦→コントロール→制御不能→暴走→叫び声→亡者\n', '【｜電気操縦《エレクトリカルコントロール》】\n']",['・女の子はお砂糖とスパイスと素敵な何かで出来ている。ちなみに、男の子はぼろきれやカタツムリ、子犬の尻尾で出来ている（マザーグース。”What are little boys made of？” ）。\n'],['レーザービーム→光線→スペシウム→カルシウム→カリっとボーン→カリバーン→カリブ海→母なる海\n'],,,['\u3000読みは、そのまま読むと「ニクシミ」の音が「憎しみ」と被るので、「ジューシー・ドロップ・カーニヴァル」と読んでください。\n'],,,,,,,['・一、二行目は起動文。ちょっとだけバタフライエフェクトを意識している。この魔法は意図的に行なうのだから、あまり関係は無いのだけれども。\n'],,,,"['・とある本に、『ピクシーはみんなで輪になって踊るのが大好きだという』と書かれていて、そこから発想を得た。ピクシーに関する小話が意外と面白かった。ピクシーはいつも踊っているので、靴がものすごい勢いで擦り減るらしいですよ。\n', '・とある本に、『ピクシーはみんなで輪になって踊るのが大好きだという』と書かれていて、そこから発想を得た。ピクシーに関する小話が意外と面白かった。ピクシーはいつも踊っているので、靴がものすごい勢いで擦り減るらしいですよ。\n', '・とある本に、『ピクシーはみんなで輪になって踊るのが大好きだという』と書かれていて、そこから発想を得た。ピクシーに関する小話が意外と面白かった。ピクシーはいつも踊っているので、靴がものすごい勢いで擦り減るらしいですよ。\n']",,,,,"['・「太陽の使者」は、フンコロガシ。スカラベ。\n', '・フンコロガシの姿をした精霊を呼び出し、爆発物を作ってもらう魔法。\n', '・地属性にしたのはフンコロガシをテーマにした魔法だから。鉱物に関係した文を書こうとも思ったけれど、複雑になりそうだったので止めた。\n', '・四行目は玉の内容物。実際のフンコロガシにとって、玉になったフンはご飯であり、爆発するわけがないのだけれど。そこはまぁ、想像の産物というか、なんというか。\n', '・糞虫についても調べた。中々面白生態だった。フンコロガシが何故フンを転がすのかは、よく分かっていないらしい。\n']",,,,['・確実に、ヨルムンガン◯が影響を与えていると思われる（漫画）。あの、一巻最初の記述は詠唱に近いものを感じる。数字を出したり、陸と海という対となる対象を出してるからかもしれない。＜五つの陸を食らい尽くし・・・\n'],,,,,['・純粋な魔力を刃状にして放つ、攻撃魔法。別名、パワースラッシュ。\n']
N3738EVline_info_k,,,,,,,,,,,,,,,,,,,['野菜サラダ、パスタサラダ、'],,,,,,,,,,,,,,,,,,,,,,,
N5058EJline_info_k,,['\u3000エンドロールに名前は見つからない。\n'],"['\u3000だってほら、クリスマスといえば、無駄に明るいイルミネーション、カップルでうじゃうじゃ歩き回わる、頭の緩いリア充（偏見）、そして、大抵の過程で食べるであろう一年に一度の七面鳥。――ほら、完全に『クリスマスに付け込んで儲けてる方々』のニヤニヤ顔が浮かんでくるじゃないですか。どうせ、そこら中ひしめくカップル達も、舞い散る雪を見ながら「俺達も、ベットに真っ白なゲレンデつくろうな」とかほざいているのでしょうし……あ、自分が非リアだからといってこじらせてる訳じゃないですよ。どうせ、今、リア充を目の敵にしても、将来自分がその立場になったら、道行く人に『死ね！』と呟かれるのでしょうから、妬んでも仕方ないです。\n', '\u3000だってほら、クリスマスといえば、無駄に明るいイルミネーション、カップルでうじゃうじゃ歩き回わる、頭の緩いリア充（偏見）、そして、大抵の過程で食べるであろう一年に一度の七面鳥。――ほら、完全に『クリスマスに付け込んで儲けてる方々』のニヤニヤ顔が浮かんでくるじゃないですか。どうせ、そこら中ひしめくカップル達も、舞い散る雪を見ながら「俺達も、ベットに真っ白なゲレンデつくろうな」とかほざいているのでしょうし……あ、自分が非リアだからといってこじらせてる訳じゃないですよ。どうせ、今、リア充を目の敵にしても、将来自分がその立場になったら、道行く人に『死ね！』と呟かれるのでしょうから、妬んでも仕方ないです。\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3959EUline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['［＃中見出し］ブーバンさまと夏歌［＃中見出し終わり］\n'],,,,,,['涙を拭うのはワイパー\n'],
N5159DZline_info_k,,,,,,,['飾らない気持ちで電子の筆をとりキーボードを叩いた。いつからか、他人の評価を気にして画面を叩いた。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2870ERline_info_k,,,,,,,,,,,['野原のふちのコンクリの斜面に座って、\n'],,,,,,,,,,,,,,,,['空は｜濃紺色《ネイビーブルー》\n'],,['ピチャポチャ\n'],,,['フラサワ\n'],,,,,,,,,,
N6526EQline_info_k,,,,,,,,,,,,,,,,,,,,,['ドタバタと走っていた君は'],,,,,,,,,,,,,,,,,,,,,
N0222EHline_info_k,,,"['この詩は、昨日の夕方午後５時頃に見た若いカップルからインスピレーションを受けています。詳しくは話せませんが、女の子の目線をイメージして書いてみました。\n', 'あるカップルがいた\n', '老夫婦、若いカップルだらけのスケートリンク\n']",['カーペンターズの\n'],['スキンシップも、\n'],,,,['トクントクンと鳴るから\n'],,,,,,,['彼女のシャンプーの匂いに汗ばんだシャツから石鹸の香りに胸が高鳴っていく\n'],,,,,,,"['［＃中見出し］１２月３１日〜ハッピー・ニュー・イヤー〜［＃中見出し終わり］\n', '大晦日＆ハッピー・ニュー・イヤー！LOVEを込めて。世界が平和でありますようにと愛で溢れますように！\n', 'ハッピー・ニュー・イヤー願えば希望が叶うんだよ\n', 'ハッピー・ニュー・イヤー\n', 'ハッピー・ニュー・イヤー新たな心で愛を迎えたい\n', 'ハッピー・ニュー・イヤー希望を胸に愛しあおう！\n', 'ハッピー・ニュー・イヤー\n', 'ハッピー・クリスマス！\n', '［＃中見出し］ハッピーエンド［＃中見出し終わり］\n']",,,['ミニー・リパートンの\n'],,,,,['僕は静かに泣き止み店内のスピーカーから流れる歌に聞き耳を立てた時の無言の時間が一瞬だけ輝いていて焦ってしまった\n'],,,['詩人は古着屋で買った五年目のブラウンのコーデュロイジャケットにとても愛着があった\n'],,['転がるペットボトル\n'],,,,['街角でアコースティック・ギターを弾かずにギターを抱きしめて「ホワイトクリスマス」を歌う青年は泣いていた\n'],,
N1804EGline_info_k,,,['\u3000他人からみれば当然カップル。でも、お互いの気持ちは口には出さない。\n'],,,,,,,,,,,,,['シャンプーつけて\n'],,,,,,['思うことは、ハッキリ言わないとね。\n'],['初めは失恋の詩にしようかとも思ったのですが、ハッピーエンドにしました。\n'],,,,,,,"['［＃中見出し］【１０９】\u3000ピリオド［＃中見出し終わり］\n', 'この恋にピリオドを\n', 'この恋心にピリオドを\n', '遠距離恋愛にピリオド。\n']",,,,,['※『ブーバン』さまよりいただきましたFAを、ご本人の許可を得て掲載させていただいております。\n'],,,['やっぱ、ガソリンスタンドは、セルフよりフルサービス派です。\n'],,,['ワイパーも応援して\n'],
