,いらいら,うきうき,うじゃうじゃ,うとうと,おいおい,おろおろ,かたかた,からから,かりかり,きらきら,ぎこぎこ,ぎりぎり,くしゃくしゃ,くすくす,くよくよ,くるくる,くんくん,ぐずぐず,ぐちゃぐちゃ,ぐらぐら,ぐりぐり,ぐるぐる,げらげら,こつこつ,こてこて,ころころ,こんこん,ごつごつ,さやさや,さらさら,さわさわ,ざらざら,しとしと,じくじく,じりじり,じわじわ,すくすく,すらすら,するする,すれすれ,ずきずき,せかせか,そよそよ,そろそろ,だらだら,ちゅんちゅん,ちらちら,つんつん,てくてく,でんでん,とげとげ,とことこ,とろとろ,とんとん,どきどき,どろどろ,どんどん,にこにこ,にやにや,ぬくぬく,のそのそ,はらはら,ばかばか,ばたばた,ばらばら,ぱくぱく,ぱたぱた,ぱちぱち,ぱらぱら,ひしひし,ひゅるひゅる,ひょろひょろ,ひらひら,びくびく,びしょびしょ,びりびり,ぴーぴー,ふかふか,ふらふら,ふわふわ,ふわりふわり,ぶすぶす,ぶらぶら,ぶるぶる,ぶんぶん,ぷんぷん,へらへら,ぺんぺん,ぼやぼや,ぼりぼり,ぼろぼろ,ぽかぽか,ぽこぽこ,ぽたぽた,ぽつぽつ,ぽつんぽつん,ぽろぽろ,ぽんぽん,めらめら,もぐもぐ,もじもじ,もぞもぞ,もやもや,ゆらゆら,よちよち,よぼよぼ,よれよれ,りーんりーん,わくわく,わさわさ,わんわん
N4180EYline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,"['ころころころ', 'ころころ', 'ころころころ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['りーんりーん', 'りーんりーん', 'りーんりーん']",,,
N5058EJline_info_n,,,['\u3000だってほら、くりすますといえば、無駄に明るいいるみねーしょん、かっぷるでうじゃうじゃ歩き回わる、頭の緩いりあ充（偏見）、そして、大抵の過程で食べるであろう一年に一度の七面鳥。――ほら、完全に『くりすますに付け込んで儲けてる方々』のにやにや顔が浮かんでくるじゃないですか。どうせ、そこら中ひしめくかっぷる達も、舞い散る雪を見ながら「俺達も、べっとに真っ白なげれんでつくろうな」とかほざいているのでしょうし……あ、自分が非りあだからといってこじらせてる訳じゃないですよ。どうせ、今、りあ充を目の敵にしても、将来自分がその立場になったら、道行く人に『死ね！』と呟かれるのでしょうから、妬んでも仕方ないです。\n'],,,,"['\u3000かたかたかた……。\n', '\u3000かたかたかた……。\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000案外すらすら書けました。\n'],,,,,,,['\u3000だらだらして、\n'],,,,,,,,,,,['\u3000どろどろになって、混じり合って楽になった。それでも頭痛は消えないままだ。二日酔いか。\n'],['\u3000どんどんあるいた。\n'],,['\u3000だってほら、くりすますといえば、無駄に明るいいるみねーしょん、かっぷるでうじゃうじゃ歩き回わる、頭の緩いりあ充（偏見）、そして、大抵の過程で食べるであろう一年に一度の七面鳥。――ほら、完全に『くりすますに付け込んで儲けてる方々』のにやにや顔が浮かんでくるじゃないですか。どうせ、そこら中ひしめくかっぷる達も、舞い散る雪を見ながら「俺達も、べっとに真っ白なげれんでつくろうな」とかほざいているのでしょうし……あ、自分が非りあだからといってこじらせてる訳じゃないですよ。どうせ、今、りあ充を目の敵にしても、将来自分がその立場になったら、道行く人に『死ね！』と呟かれるのでしょうから、妬んでも仕方ないです。\n'],,,,,,,,,,['\u3000ぱらぱらと空に舞っていく\n'],,,,,,,['\u3000びりびりにして窓から捨てた。\n'],,,,,,,['\u3000それでも気にせず、ぶらぶらぶら。\n'],,,,,,,,,,,,,,,,,,,,,"['［＃中見出し］ゆらゆら［＃中見出し終わり］\n', '\u3000広い海で、ぶらりゆらゆら。\n', '\u3000波に流され、ゆらりゆらゆら。\n', '\u3000ぶらりゆらゆら。\n', '\u3000ゆらりゆらゆら。\n', '\u3000ぶらりゆらゆら。\n', '\u3000ゆらりゆらゆら。\n', '\u3000ゆらゆら。\n']",,,,,,,
N1507ENline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000だって、貴方が他の女に囲まれていると胸がずきずき痛むのだもの。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4812EKline_info_n,,,,,['おいおい、すごい力だな'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['横目でちらちら見てるだろ'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['ぶるぶる震えてないでなんとか言ってよ'],,,,,,,,,,,,,,,,,,,,,,,,,,,
N1784ESline_info_n,,,,,['\u3000おいおいおい、またこれかい？'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0585EKline_info_n,,,,,,,,,,['街はきらきら輝く\u3000いるみねーしょんに溢れている'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['お空からふわふわした\u3000真っ白な雪', 'ふわふわ舞い降りてくる雪', '雪はふわふわと舞い降りてくる', 'ふわふわ舞い降りてくる\u3000幾千粒の雪']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7884EIline_info_n,,,,,,,,,,"['きらきら輝く青空に\u3000この広い空の下で\n', '青い空には\u3000きらきらと輝く太陽\n', 'きらきら輝く太陽から\u3000日差しが延びる\n', 'きらきら眩しい光の中にいる\n', '窓から見える\u3000きらきらした世界\n', '太陽の光を受けて\u3000きらきら輝く噴水の水しぶき\n', '「よつ葉ちゃん、きらきらできれい」\n', 'きらきらした世界を\u3000教えてあげたい\n', 'きらきらときらめき\u3000輝き光り続ける\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['ずきずき痛む傷と心を隠して\n'],,,,,,,,,,,,,,['どきどきしながら何度目かの病院実習\n'],,,,,,,,,,,,,,,,,,,['次は何を言われるんだろうとびくびくしているのを知っていますか？\n'],,,,,,['止むことを忘れたようにふわふわと落ちてくる\n'],,,,,,,,,,,,,,,,,,,,,,,['もやもやした気持ちのまま患者様と向かい合えない\n'],,,,,,,,
N4312EHline_info_n,,,,,,,,['・昼の姿は主に回復。攻撃方法としては、こだま（頭からからする奴）を呼び出して、特攻させるとか？\u3000大量に特攻してくる光景は軽いほらーだね。あと、過剰回復で肉体を損傷させるという手もあると思う。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,['氷って冷たいね→冷蔵庫の中→お野菜→種があるものもある→すくすく育てよ→育ちすぎて破裂した→爆裂\n'],,,,,,,,,,,,,['雷→でんでん太鼓→音→音玉\n'],,,,,,['泥化→どろどろ→ろーどろーらーだぁぁぁ！→頭上からどーん→めておすとらいく→氷柱落とし\n'],,,,,,,,,['爆裂→四散→ばらばら→集めて再形成→土をこねくり回すのは楽しい→模型でも作ってみよう\n'],,,,['・演出で、本みたいなのが目の前に出てきて、ぺーじがぱらぱらとめくられ、対象のぺーじで止まる。行使者はそれを閲覧する、という情景を思い浮かべた。視界内に文字情報が現れるというのも面白い。某らのべのこみからいずされたものに、同一の表現があった。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['獣の牙→獣→ふれんず？→どしたの、わさわさ→漲る気力→災いを寄せ付けない→おーらをまとって\n'],
N3738EVline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['どんどん無くなるまよねーず♪', '(それでも、どんどん無くなるんだ……)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4843EIline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['どんどん近づく\u3000目的地'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1190ERline_info_n,['努力したのに結果しか見ない担任にいらいらしてしまう。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5297ENline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['粉雪がふわふわと空から降りはじめました。', '空から\u3000ふわふわ\u3000楽しそうに舞い降りてくる無数の雪たち', '降り続いている\u3000ふわふわ空から\u3000舞い散るように', 'ふわふわ\u3000降りては\u3000華を添えるように']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
