,あーあーわーわー,うろうろつらつら,うんうんもぐもぐ,がたがたぶるぶる,がちがちごりごり,きびきびはきはき,きんきんきらきら,ぎゃーぎゃーぴーぴー,ぎりぎりすれすれ,けたけたきゃっきゃっ,ざくざくもぐもぐ,しくしくしこしこ,すべすべぴちぴち,すらすらはきはき,ちらちらぎりぎり,つるつるぺたぺた,つんつんでれでれ,どきどきわくわく,どたどたばさりばさり,どろどろざらざら,どろどろねちゃねちゃ,にこにこきらきら,にこにこにやにや,にやにやにたにた,ぬめぬめてかてか,ねばねばざらざら,はきはきにこにこ,はらはらどきどき,ばちばちぼんぼん,ぱたぱたぺたぺた,ふにゃふにゃふらふら,ふわふわふらふら,へらへらゆらゆら,べたべたいちゃいちゃ,ぺたぺたぽんぽん,みしみしぎしぎし,むしゃむしゃもぐもぐ,もじもじおどおど,もじもじおろおろ,ゆらゆらぶんぶん,ゆるゆるがばがば,ゆるゆるこそこそ,わいわいがやがや,わいわいきゃーきゃー,わくわくどきどき
N8433BTmid,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
N9463BRmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
N5521CSmid,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
N0006CNmid,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2464CImid,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
N9655CWmid,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6219CSmid,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,
N4051DGmid,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5672CTmid,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,
N2439EMmid,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4633EHmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
N5976CRmid,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
N3713BVmid,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,5.0,,,1.0,,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,
N0859ETmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
N3852CKmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
N3815DAmid,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
N3505EQmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
N6586DOmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
N3820DUmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,
N5260BKmid,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
N6031BXmid,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0
N7776CLmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
