,うだうだぐだぐだ,うまうまもぐもぐ,おどおどびくびく,おどおどもじもじ,かたかたかちゃかちゃ,かたかたがたがた,かんかんきんきん,がくがくぶるぶる,がたがたぶるぶる,がたがたぷるぷる,がつがつどろどろ,がつがつもしゃもしゃ,がやがやざわざわ,がーがーぴーぴー,きちきちぶんぶん,きょろきょろぐるぐる,ぎしぎしめきめき,ぎすぎすどろどろ,ぎちぎちがちがち,ぎりぎりしゃーしゃー,くすくすひそひそ,ぐつぐつぐるぐる,こちょこちょさわさわ,ごぼごぼがばがば,さくさくふわふわ,ざくざくぐさぐさ,しくしくめそめそ,すべすべさらさら,すべすべふわふわ,ずぶずぶがりがり,そろそろぎりぎり,そろそろちょくちょく,そわそわうろうろ,そわそわちらちら,ちかちかきらきら,ちまちまねちねち,つるつるすべすべ,てかてかつるつる,どかどかばきばき,どきどきわくわく,どすどすばきばき,どろどろぐちゃぐちゃ,どろどろべたべた,どんどんかっかっ,どんどんごてごて,どんどんでれでれ,どんどんぱちぱち,どんどんぼろぼろ,はらはらどきどき,はらはらわくわく,はーはーぜーぜー,ばきばきぐちゃぐちゃ,ばっさばっさちゅんちゅん,ばらばらぼたぼた,ばりばりばちばち,ばりばりむしゃむしゃ,ばりばりめきめき,ぱたぱたさわさわ,ぴちぴちちゃぷちゃぷ,ぴょんぴょんかちゃかちゃ,ふかふかさらさら,ふかふかすべすべ,ふかふかふわふわ,ふくふくまるまる,ふわふわとろとろ,ふわふわぷるぷる,ふーふーもごもご,ぼこぼこぐしゃぐしゃ,ぼとぼとごろごろ,まるまるうまうま,めきめきみしみし,もしゃもしゃもぐもぐ,もじもじくねくね,ゆるゆるがばがば,よたよたよれよれ,わいわいがやがや,わいわいざわざわ,わくわくきらきら,わくわくどきどき,わーわーきゃーきゃー,わーわーどんどん
N6678EUmid,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8107ECmid,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
N8715EMmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3716BHmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7793DHmid,,,,,,,,,,,,3.0,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
N4014DSmid,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2634EImid,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2329EEmid,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2634DGmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
N5834CRmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
