,うきうきわくわく,がくがくぶるぶる,きょろきょろうろうろ,きょろきょろおどおど,くすくすころころ,こそこそぼそぼそ,ごてごてひらひら,ざらざらばらばら,じゃんじゃんばりばり,そわそわもじもじ,どきどきわくわく,ひゅーひゅーどんどん,びりびりばりばり,ふらふらぺたぺた,ぶつぶつぼそぼそ,ぶるぶるがたがた,ほかほかふわふわ,ぼそぼそもそもそ,わいわいがやがや
N6370ELmid,,,,,,,,,,,,,,,,,,,1.0
N3408ECmid,,,,,,,,1.0,,,,,1.0,,,,,,
N1730EUmid,,,,,,,,,1.0,,,,,,,,,,
N6144CUmid,,,1.0,,1.0,1.0,,,,1.0,,,,,2.0,,,1.0,
N9056ESmid,1.0,,,,,,,,,,,,,,,,1.0,,
N1893DSmid,,,,,,,,,,,,,,,,,,,1.0
N4077DSmid,,,,,,,,,,,,1.0,,,,,,,
N5040CBmid,,1.0,,,,,,,,,,,,,,,,,
N8648EDmid,,,,,,,1.0,,,,,,,,,,,,
N3832BCmid,,,,,,,,,,,,,,,,1.0,,,
N6001EHmid,,,,,,,,,,,3.0,,,,,,,,
N3046EAmid,,,,,,,,,,,,,,1.0,,,,,
N4840ENmid,,,,1.0,,,,,,,,,,,,,,,
