,イチャイチャ,イライラ,ウジウジ,ウハウハ,ウロウロ,オドオド,オロオロ,カタカタ,カチャカチャ,カッカッ,カラカラ,カリカリ,カンカン,ガクガク,ガタガタ,ガチガチ,ガツガツ,ガバガバ,ガヤガヤ,ガラガラ,ガリガリ,ガンガン,キシキシ,キャッキャッ,キュッキュッ,キョロキョロ,キラキラ,キリキリ,キンキン,ギシギシ,ギスギス,ギトギト,ギューギュー,ギリギリ,クシャクシャ,クスクス,クタクタ,クツクツ,クネクネ,クラクラ,クリクリ,クルクル,クンクン,グイグイ,グシャグシャ,グダグダ,グチャグチャ,グツグツ,グビグビ,グラグラ,グルグル,グーグー,ケタケタ,ケラケラ,ゲラゲラ,コソコソ,コツコツ,コトコト,コリコリ,コロコロ,コンコン,ゴシゴシ,ゴタゴタ,ゴツゴツ,ゴロゴロ,ゴワゴワ,サクサク,サバサバ,サラサラ,ザクザク,ザブザブ,ザラザラ,ザーザー,シャキシャキ,シュンシュン,ジメジメ,ジリジリ,ジロジロ,ジンジン,スイスイ,スカスカ,スクスク,スタスタ,スベスベ,スヤスヤ,スラスラ,スルスル,ズキズキ,ズタズタ,ソロリソロリ,ソワソワ,ゾクゾク,タッタッ,ダラダラ,チカチカ,チクチク,チチチチ,チビチビ,チマチマ,チョイチョイ,チョコチョコ,チラチラ,ツカツカ,ツンツン,テラテラ,トボトボ,トロトロ,トントン,ドキドキ,ドサドサ,ドスドス,ドロドロ,ドンドン,ニコニコ,ニヤニヤ,ネバネバ,ハキハキ,ハラハラ,バカバカ,バサバサ,バシャバシャ,バタバタ,バラバラ,バリバリ,バンバン,パキパキ,パクパク,パサパサ,パタパタ,パチパチ,パラパラ,パンパン,ヒソヒソ,ヒヤヒヤ,ヒューヒュー,ヒョロヒョロ,ヒラヒラ,ヒリヒリ,ビシビシ,ピカピカ,ピチピチ,ピリピリ,フカフカ,フラフラ,フワフワ,フーフー,ブツブツ,ブラブラ,ブルブル,ブンブン,プチプチ,プラプラ,プリプリ,プルプル,プンプン,ヘトヘト,ヘラヘラ,ベタベタ,ベトベト,ベラベラ,ペコペコ,ペラペラ,ペロペロ,ホイホイ,ホクホク,ボコボコ,ボサボサ,ボソボソ,ボチボチ,ボリボリ,ボロボロ,ボンボン,ポイポイ,ポカポカ,ポタポタ,ポタリポタリ,ポツポツ,ポツリポツリ,ポリポリ,ポロポロ,ポンポン,マジマジ,ムズムズ,ムラムラ,モクモク,モグモグ,モゴモゴ,モゾモゾ,モヤモヤ,モリモリ,ユラユラ,ワイワイ,ワクワク
N3060DTline_info_n_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000まだ、HP回復受け付けます、と書いてあったのなら、ギリギリわからなくもない。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000そんなにホイホイと、ファイヤーボールが撃てなくなりました、なんて言ってくる様な奴など秋葉原にしかいないだろうに。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5827EJline_info_n_k,,,,,,,,,,,,,,,,['\u3000古賀が大きく息を吸い込み、勇気を振り絞るように「萬狩さん」とガチガチに緊張した声で呼んだ。萬狩が応えるように顰め面を向けると、彼は途端にうろたえて視線を泳がせ、「あの」と緊張に上ずった声を出した。\n'],,,,,,,,,,,"['「いいえ、金具の部分が割れてしまったんです。なんとかっていうブランドの皮製のもので、こう、ダイヤの飾り物がついていて、キラキラした感じの装飾品もあった、アンティークチックなやつなんですけど」\n', '\u3000罵倒の一つでもくれてやろうと顔を上げた萬狩は、しかし、眼前に広がる光景に言葉を失った。どこまでも青い海を、地平線から顔を出した朝日が海面をキラキラと照らし出していたのだ。\n', '\u3000萬狩は、老犬につられるようにして、押し寄せる波の方へ目を向けた。きっとこの老犬は、日差しを受けてキラキラと輝く水が不思議でならないんだろうなと、そんな事を思った。\n', '「全体的にキラキラしている感じで、表紙がすぐ目にとまるんです。僕は同性間の恋愛については理解出来ないのですが、母さんから言わせれば、だからこその純愛だとか」\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000シェリーが顔を上げて、真っ直ぐ耳を立てた。萬狩は初めて、老犬が緊張した雰囲気を発していると気付いた。そうしている間にも、玄関の呼び鈴を鳴らした人物が、続けて何事かを言いながらドンドンと玄関を叩き始める。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000買い物をしていた時から、どうもワクワクしている自分にも気付いていた。初めての取り組みであるので新鮮でもあったし、新しい草刈り機が、ひどく役に立っている事も大きいのかもしれない。\n']
N3569EVline_info_n_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000あたしが何となく水を向けた話題に、香名山は、ニコニコと満面の笑顔でそう言った。どうやら彼にとって、これはすごく楽しい話題のようだった。', '\u3000そういう、相手の自慢話の中から透けて見える劣等感を刺激しないようにして、無難に相槌打ってニコニコしててあげるのがどれだけ苦痛でどれだけ労力が掛かる事かっていうの、この人には分かんないんだろうな。', '\u3000このままニコニコ相槌打ってあげて、絶対にこの人の機嫌を損ねないようにして、セックスして妊娠でもすれば、あたし一流企業の旦那を持った嫁ってポジションに就けるのかな。戦略考えたら、そうすべきなんだろうな。', '\u3000あたしあと何年ニコニコしてればいいんだろう。']",,,,,,,,,,,,,,,,,,,,,,,,['\u3000手がヒリヒリしたから右手を見ると、殴った勢いで、割れたコップのガラス片が刺さったらしく、あたしの手も血だらけだった。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6757ECline_info_n_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000商品は驚くほど簡単に手に入った。コンビニ受け取りとしたそれを、車の中で配送用の箱から取り出せば、ネットで見るよりも遥かに禍々しいデザインをしていた。目がチカチカしてしまいそうなパッケージに書かれたうたい文句。'],,,,,,,['\u3000目に見えて効果が現れ出したのは、妻が媚薬を飲んでからおよそ三十分後の事だった。その間僕は、当然映画になど集中できるはずもなく、視界の隅の方に見える妻の動きにばかり気を取られていた。何度も妻の方を振り向きたいと思ったが、必死の思いで我慢した。チラチラと視線を送っていたら、僕が何かした事を悟られてしまうから。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000僅か一滴では、大した効果は得られないのではないかと思っていたのだが、そんな事はなかった。服用から十分程で身体が火照り出し、心拍数が上がったのが分かった。そして、身体がムズムズしだし、気付いた時には劇的な変化が起こっていた。'],,,,,,,,,,
N0473ESline_info_n_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000コンコン、と部屋の襖がノックされ、亜衣は布団に半身を入れた状態で答える。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6516EMline_info_n_k,,,,,,,,,,,,,,,,,,,['ガヤガヤと騒がしい周囲と膜で隔てられたような空気のなか、穂乃果は瞬いた。'],,,,,,,,['彼の瞳がキラキラと光っているように見えた。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['忠宏はシャーペンを片手に持ったまま、目線を下げた。コンタクトレンズに手を伸ばさないで、口をモゴモゴとさせた。「しまったなぁ」と小さな声で呟いた。'],,,,,,
N8134BKline_info_n_k,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000中学の卒業式の帰りに、気がつけばこんな場所にいた完爾はキョロキョロと周囲を見渡す。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000実家に相談したら、すぐにでも帰って来いっていわれたから……まあ、それなりにゴタゴタはあったけど、今では落ち着いている」\n'],,"['\u3000それじゃあ、今は実家でゴロゴロしているのわけか」\n', '\u3000ようするに、気心の知れた完爾がゴロゴロしているのなら、自分の事務所でこき使いたいというわけだった。\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000日雇いとか短期の契約の仕事なら、完爾のようなあやふやな経歴の者でもなんとか仕事にありつけるのだが、「別にお金に困っているいるわけでもないし、そんな半端な仕事をチマチマするよりはしっかりしたところに就職した方がいいよ」との姉の忠言に、今のところは従っている。\n'],,,,,,,,,,,['\u3000待ち合わせ場所である店内の書籍売場に向かった完爾は、そこでもドサドサと重い荷物を押しつけられることになった。\n'],,,,,,,,,,,,['\u3000記憶が戻ってから今までは、各種手続きとか病院とかでバタバタして、感慨にふける余裕もなかったし」\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000気がついたらボロボロの服装で自宅の庭先につっ立っていた」\n', '\u3000それに、半年前に無事こちらに帰還した完爾は、着の身着のままの状態で身につけていた衣服や荷物も伴っていた。ボロボロになった甲冑や衣服、魔除けの護符、薬草や毒消し、勇者専用の剣などは、こちらでは使いようがないゴミでしかなかったが、巾着にぎっしりと詰まった金貨や銀貨は、こちらでも貴金属としての価値を有している。\n']",,,,,,,,,,,,,,,,,,,,,,
N6137EOline_info_n_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000エスカは時折、川の淵で洗濯をする。水面に頭を引き寄せられ、手元の衣服に視点を集中する彼女には、バシャバシャと音を立てる布と水しか見えない。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7689ENline_info_n_k,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000自分の中で彼女の存在がすっかり大きなものになっている事を、僕は認めざるを得ませんでしたが、それは、恋だとか、そういうキラキラとしたものでは決してありません。\n'],,,,,,,['\u3000それからは水面下で受験の準備を進め、無事高校に受かってからも、義母の邪魔が入らないよう、ギリギリまで高校進学の事は隠す日々です。\n'],,['\u3000クスクスと笑いながら彼女が前言を撤回しようとするので、慌てて僕は頷きました。\n'],,,,,,,,['\u3000告白された時期が近く、二人共結構グイグイ来るタイプで困っていたのですが、二人とも好きなアーティストが結構被っていました。\n'],,,,,,,"['\u3000玲亜との事が走馬灯のようにグルグルと頭の中を回って、これは夢に違いない。でなければ何かの間違いだと考える僕と、玲亜はもう死んでしまったので、そんな事考えても、もう無駄だとどこか冷めた僕がいました。\n', '\u3000そんな事がずっと頭の中をグルグルと回っていました。\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000身体中のあちこちがズキズキと痛みましたが、同時にああ、生きているんだな。とも思えます。\n'],,,"['\u3000随分とソワソワした様子で話す千秋に、僕は首を傾げました。\n', '\u3000クリスマスが一ヶ月後に近づいて、独り者がソワソワし始める時期だったので、二人共それなりに意識し始めたようでした。\n']",['\u3000そう思うと、ゾクゾクしました。\n'],,,,,,,,,,,,,,,,,"['\u3000昨日の猫なで声でニコニコと男と寄り添い歩く彼女と、今僕の目の前で気だるそうにしている彼女が同一人物だと思うと、なぜだか妙にドキドキしました。\n', '\u3000それでも内心ドキドキしていましたが、彼女はいつものように事務的に挨拶を返してきました。\n', '\u3000彼に対して性行為以外でドキドキした事はありませんが、それでも、自分という存在を全て受け入れてくれる相手がいるという事に当時の僕はとても安心感を得ていました。\n']",,,,,"['\u3000なんてニコニコしながら立ち止まって僕の希望を聞いてきます。\n', '\u3000義母は少し過保護に思える位、僕を構うようになり、僕はただニコニコしながら義母に甘えるだけでよくなりました。\n', '\u3000昨日の猫なで声でニコニコと男と寄り添い歩く彼女と、今僕の目の前で気だるそうにしている彼女が同一人物だと思うと、なぜだか妙にドキドキしました。\n', '\u3000だからこそ僕は、新しい両親に気に入られようと、行儀良くニコニコしながら食事をしつつ、料理を褒めたり叱られない程度にはしゃいでみたりしました。\n', '\u3000彼女は僕に気づく様子もなく、目の前に座る男とニコニコと楽しげに談笑しています。\n', '\u3000恐る恐るリビングの方へと進めば、ニコニコと琴美が笑顔を浮かべて僕の元へやってきました。\n', '\u3000要するに、ちょっとニコニコして好意を見せれば勝手に人は寄ってくるので、多少ぞんざいに扱ってもかまわないと思っているのではないかという事です。\n', '\u3000僕と同期生の彼女は、いつもニコニコ笑っていて、常に周りには誰かしら人がいました。\n', '\u3000ニコニコと、普段周囲に向けるのと同じ笑顔で彼女は言いました。\n']",,,,,,,,,['\u3000彼女の話によると、両親ともあまり家には帰ってこず、食事も帰ってくる時間も全員バラバラで、たまに顔を合わせてもほとんど話さないそうです。\n'],,,,['\u3000更に僕が暴露すれば、義母は違うの違うのと、何が違うのかはわかりませんがベッドの上で泣きだしましたし、父は目を見開いて、魚のように口をパクパクとさせていました。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000以降は相変わらずベタベタしてきますが、今まで通りの関係に戻りました。\n'],,,,,,,['\u3000父もやっとこの話が僕にできるとホクホクとした顔で言います。\n'],,,,,,,,,,,,,,,,['\u3000僕は弟の頭をポンポンと撫でながら話しかけます。\n'],,,,,,,,['\u3000その日、僕はなんとも言えないモヤモヤした気分で家路に着きました。\n'],,,,
N0577DTline_info_n_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000いやいや、そんなはずはないだろう。こんな平日の真昼間からベンチでダラダラしている男だぞ。百歩譲ってそれはない。', '\u3000もしかしたら彼女も、平日の昼間からダラダラしている仲間かもしれないのだから。']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
