,イチャギシ,カップル,キンシッ,クスカリ,クスハー,クッキー,グラウン,グーグル,コントロ,コンピュー,ジャングル,スクリーン,スルドッキン,スーパー,ツンデレ,テクノロ,ドタバタ,ドンパッ,ニコチン,ニヤニタ,ハッピー,バリスタ,バリトン,ピンポイ,ピーカー,フラワー,ブルピー,ブーメラ,プスピー,ボンキュッ,ボードス,ポンコツ,ムズアップ,メチャクチャ,リンエン,リーンベン,ワンピー,ワーカー,ワーポイ
N3005EUline_info_k,,,,['「聖剣かぁ……農民君の下半身についてるエクスカリ棒じゃダメかな？」'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5229EPline_info_k,,"['\u3000暴走トラックに轢かれそうになった百合カップルを、自らを犠牲に助け出したのだ。なんとすばらしい！\u3000オッサンという事を目をつぶればとても素晴らしいことだ！', '\u3000えっよく見たら妹2人の魂が、春乃が前世で助けた百合カップルのモノだって？']",['\u3000そんなことがあり、アピール合戦は更なる盛り上がりを見せるかと思いきや、妹たちは冷戦状態に入り相手がより過激なスキンシップを取らないように、けん制し合っていた。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1228CQline_info_k,,,,,,"['「それよりもルッツさんがどちらにいるのか存じませんか？\u3000クッキーを焼いてきたので彼女に渡したいのですが」', '「『それよりも』で片づけるな。それにしても貴様がルッツにクッキーだと？\u30001か月前まで彼女をいじめていた貴様が、なぜ突然クッキーなど……」', '「『それよりも』で片づけるな。それにしても貴様がルッツにクッキーだと？\u30001か月前まで彼女をいじめていた貴様が、なぜ突然クッキーなど……」']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5560EQline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000本来ならば勇者の大敵。騎士の間では『骸の魔王』や『社畜の王』、『文官最終形態《アルティメットワーカー》』などと呼ばれる死霊……ワイト氏。聖霊の言う良くない物など、それしか無かった。'],
N3055DYline_info_k,,,,,,,,,,['\u3000しかしコンピューターウィルスによって偶然(ぐうぜん)にもラールンの報告書と、葵のメールとが混じりあう事態となってしまった。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3255ELline_info_k,,,,,,,,,,,,,,,['\u3000同世代じゃ姉ちゃんの次に可愛いと言われていたツンデレ幼馴染みも、今じゃオッサンにぞっこんだ。オレにはツン、オッサンにはデレだ。'],,,,,,,,,,,,,,,,,,,,['\u3000オレじゃ当然勝てそうにないゴブリンエンペラー相手に、オッサンに助けてもらいながら、トドメを刺したり。'],,,,
N3356EJline_info_k,,,,,,['\u3000騎士達を薙ぎ倒す女騎士(ごりら)達だけが頼もしい同士(なかま)。後で砦の井戸端会議の時にでも、自家製の薬草クッキーを持って行こうと考えるモーリィ。'],,,,,,,,,,,,,,['\u3000本物の女性ならば何か思うことはあるのかと辺りを見回してみたら、騎士達を剥いたご婦人方や女騎士達が、腕を組みゲフフグフフといったご様子で、ニヤニヤニタニタと全裸の騎士達を眺めながら何やら熱い評論を交わしていた。'],,,['\u3000騎士団長のよく通るはずのバリトンの声は耳に入ってこなかった。'],,,,,,,,,,"['\u3000護衛のため壁際の椅子で待機している女騎士の分も淹れて手渡すと、彼女はサムズアップをしながら無言で受け取り、ずずーっと美味そうに啜った。', '\u3000どう話したらいいのか迷い女騎士を見ていたら、彼女は男(おんな)前の表情で頷きサムズアップ。それに勇気づけられたような気がして、モーリィは自分の身に起きた出来事を話すことにした。']",,,,,,
N0459ESline_info_k,,,,,,,,,,,,,,,,,,"['ドンドンパッ！ドンドンパッ！', 'ドンドンパッ！ドンドンパッ！']",,,,['\u3000とはいえ、日ごろから兵士の皆さんが危険な魔物を狩っているので、それほど大した魔物は居ない。城壁の上にあるバリスタの射程の中ならば、大型の魔物や頭のいい魔物は来ないのだ。知性のない小さな……スライムとか小鬼くらいのものだ。小鬼に噛まれれば傷口が腫れて熱病にかかるし、スライムに触れたら皮膚が紫色になって腐って死ぬが、比較的安全な部類に入る。'],,,,,,,,,['\u3000魔王らしき人を拘束していた五人は、両腕をとってサーフボードストレッチの形で抑え込む。正面から迫る破城槌。悲鳴を上げてイヤイヤをするように必死で体を捩るも、五人がかりでは逃げられない。'],,,,,,,,
N5020EWline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000本来のギルバートは美しいだけではなく、優秀な頭脳を持っている。しかしユリアナと出会ってからは見てのとおり、ただのポンコツだ。せめてもの救いは仕事だけはきっちりこなしてくれることだろう。王太子の公務は少なくない。'],,,,,,,
N1537CDline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ちなみにこの時点ですでにたかし君のトップスピードは時速800kmに達し、舞空術もマスターしている。'],,,,,['「算数のテストを取ってあるんだ。この先生のテスト問題メチャクチャおもしろいんやで！」'],,,,,
