,あっぷあっぷ,あーあー,いじいじ,いそいそ,いちゃいちゃ,いらいら,うかうか,うきうき,うじうじ,うじゃうじゃ,うずうず,うだうだ,うつらうつら,うとうと,うねうね,うはうは,うまうま,うようよ,うろうろ,うんうん,えんえん,えーんえーん,おいおい,おずおず,おたおた,おちおち,おどおど,おめおめ,おろおろ,おんおん,かさかさ,かしゃかしゃ,かすかす,かたかた,かちかち,かちゃかちゃ,かっかっ,かっちんかっちん,かっぽかっぽ,かつかつ,からから,からんからん,かりかり,かんかん,がくがく,がさがさ,がたがた,がちがち,がちゃがちゃ,がっぽがっぽ,がつがつ,がばがば,がぶがぶ,がみがみ,がやがや,がらがら,がりがり,がんがん,きこきこ,きしきし,きびきび,きゃっきゃっ,きゃーきゃー,きゅっきゅっ,きょろきょろ,きらきら,きりきり,きんきん,きーきー,ぎくぎく,ぎこぎこ,ぎざぎざ,ぎしぎし,ぎすぎす,ぎちぎち,ぎとぎと,ぎゃーぎゃー,ぎゅーぎゅー,ぎょろぎょろ,ぎりぎり,くしゃくしゃ,くすくす,くすんくすん,くたくた,くちゃくちゃ,くっくっ,くつくつ,くどくど,くねくね,くよくよ,くらくら,くりくり,くるくる,くんくん,くーくー,ぐいぐい,ぐさぐさ,ぐしゃぐしゃ,ぐしょぐしょ,ぐじぐじ,ぐすぐす,ぐずぐず,ぐだぐだ,ぐちゃぐちゃ,ぐつぐつ,ぐでんぐでん,ぐびぐび,ぐらぐら,ぐりぐり,ぐるぐる,ぐるんぐるん,ぐんぐん,ぐーぐー,けたけた,けちょんけちょん,けばけば,けらけら,けろけろ,げらげら,げろげろ,げーげー,こくりこくり,こくんこくん,こそこそ,こちこち,こちょこちょ,こっくりこっくり,こつこつ,こつんこつん,こてこて,ことこと,ことりことり,こりこり,ころころ,こんこん,ごくごく,ごしごし,ごそごそ,ごたごた,ごちゃごちゃ,ごつごつ,ごつんごつん,ごてごて,ごとごと,ごほんごほん,ごぼごぼ,ごりごり,ごろごろ,ごわごわ,ごーごー,さくさく,さくりさくり,さばさば,さらさら,さわさわ,ざくざく,ざっくざっく,ざぶざぶ,ざぶんざぶん,ざらざら,ざわざわ,ざーざー,しおしお,しくしく,しげしげ,しこしこ,しっしっ,しとしと,しなしな,しゃきしゃき,しゃぶしゃぶ,しゃりしゃり,しゃんしゃん,しゃーしゃー,しゅっしゅっ,しゅるしゅる,しゅんしゅん,しゅーしゅー,しょぼしょぼ,しーしー,じくじく,じめじめ,じゃんじゃん,じゅくじゅく,じゅーじゅー,じょりじょり,じりじり,じろじろ,じわじわ,じんじん,すいすい,すかすか,すくすく,すごすご,すたすた,すぱすぱ,すべすべ,すぽすぽ,すやすや,すらすら,するする,すれすれ,すーすー,ずきずき,ずしずし,ずしんずしん,ずたずた,ずばずば,ずぶずぶ,ずぼずぼ,ずらずら,ずんずん,せかせか,ぜーぜー,そよそよ,そろそろ,そろりそろり,そわそわ,ぞくぞく,ぞりぞり,ぞろぞろ,たったっ,たどたど,たぷたぷ,たらたら,だくだく,だぶだぶ,だぼだぼ,だらだら,ちかちか,ちくちく,ちちちち,ちっちっ,ちびちび,ちまちま,ちゃぶちゃぶ,ちゃぷちゃぷ,ちゃらちゃら,ちゃりちゃり,ちゃりんちゃりん,ちゅっちゅっ,ちゅんちゅん,ちゅーちゅー,ちょいちょい,ちょきちょき,ちょくちょく,ちょこちょこ,ちょろちょろ,ちょんちょん,ちらちら,ちらりちらり,ちりちり,ちりんちりん,ちろちろ,ちんちん,つかつか,つやつや,つらつら,つるつる,つんつん,つーつー,てかてか,てくてく,てらてら,でかでか,でこでこ,でぶでぶ,でれでれ,でんでん,とくとく,とげとげ,とことこ,とぼとぼ,とろとろ,とんとん,どかどか,どきどき,どくどく,どさどさ,どしどし,どしんどしん,どすどす,どたどた,どぼどぼ,どやどや,どろどろ,どんどん,どーどー,なみなみ,なよなよ,にこにこ,にたにた,にゃーにゃー,にやにや,にゅるにゅる,にょきにょき,にょろにょろ,ぬくぬく,ぬけぬけ,ぬめぬめ,ぬらぬら,ぬるぬる,ねちねち,ねとねと,ねばねば,のしのし,のそのそ,のっしのっし,のっそのっそ,のろのろ,はきはき,はたはた,はっはっ,はらはら,はーはー,ばかばか,ばきばき,ばさばさ,ばしばし,ばしゃばしゃ,ばたばた,ばちばち,ばっさばっさ,ばったばった,ばらばら,ばりばり,ばんばん,ぱかぱか,ぱきぱき,ぱくぱく,ぱさぱさ,ぱしぱし,ぱしゃぱしゃ,ぱたぱた,ぱちぱち,ぱっぱっ,ぱらぱら,ぱりぱり,ぱんぱん,ひくひく,ひしひし,ひそひそ,ひたひた,ひやひや,ひゅんひゅん,ひゅーひゅー,ひょいひょい,ひょこひょこ,ひょろひょろ,ひらひら,ひらりひらり,ひりひり,ひんひん,ひーひー,びくびく,びしびし,びしゃびしゃ,びしょびしょ,びたびた,びちゃびちゃ,びちょびちょ,びゅんびゅん,びゅーびゅー,びゅーんびゅーん,びらびら,びりびり,びんびん,びーびー,ぴかぴか,ぴくぴく,ぴしぴし,ぴちぴち,ぴちゃぴちゃ,ぴっぴっ,ぴゅっぴゅっ,ぴゅーぴゅー,ぴょいぴょい,ぴょこぴょこ,ぴょんぴょん,ぴよぴよ,ぴらぴら,ぴりぴり,ぴんぴん,ぴーぴー,ふかふか,ふがふが,ふさふさ,ふつふつ,ふにゃふにゃ,ふむふむ,ふらふら,ふらりふらり,ふわふわ,ふわりふわり,ふんふん,ふーふー,ぶかぶか,ぶくぶく,ぶすぶす,ぶつぶつ,ぶよぶよ,ぶらぶら,ぶりぶり,ぶるぶる,ぶるんぶるん,ぶんぶん,ぶーぶー,ぶーんぶーん,ぷかぷか,ぷすぷす,ぷちぷち,ぷつぷつ,ぷらぷら,ぷりぷり,ぷるぷる,ぷるんぷるん,ぷんぷん,へとへと,へなへな,へらへら,べこべこ,べたべた,べちゃべちゃ,べちょべちょ,べとべと,べらべら,べりべり,べろべろ,べろんべろん,ぺこぺこ,ぺたぺた,ぺったんぺったん,ぺっぺっ,ぺらぺら,ぺろぺろ,ぺんぺん,ほいほい,ほかほか,ほくほく,ほやほや,ほろほろ,ぼかぼか,ぼきぼき,ぼこぼこ,ぼさぼさ,ぼそぼそ,ぼたぼた,ぼちぼち,ぼつぼつ,ぼとぼと,ぼやぼや,ぼりぼり,ぼろぼろ,ぼんぼん,ぼーぼー,ぽいぽい,ぽかぽか,ぽきぽき,ぽこぽこ,ぽたぽた,ぽたりぽたり,ぽちぽち,ぽちゃぽちゃ,ぽつぽつ,ぽつりぽつり,ぽつんぽつん,ぽてぽて,ぽとぽと,ぽりぽり,ぽろぽろ,ぽろんぽろん,ぽんぽん,ぽーぽー,まごまご,まざまざ,まじまじ,まちまち,まるまる,みしみし,むくむく,むしゃむしゃ,むずむず,むにゃむにゃ,むらむら,むんむん,めきめき,めそめそ,めためた,めちゃめちゃ,めらめら,めりめり,もくもく,もぐもぐ,もごもご,もさもさ,もしゃもしゃ,もじもじ,もじゃもじゃ,もそもそ,もぞもぞ,もたもた,もやもや,もりもり,ゆさゆさ,ゆっさゆっさ,ゆらゆら,ゆらりゆらり,ゆるゆる,よたよた,よちよち,よぼよぼ,よれよれ,よろよろ,りんりん,るんるん,れろれろ,わいわい,わくわく,わさわさ,わなわな,わんわん,わーわー
N5560EQline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000そして、聖女はぐんぐんと進んでいく。資料を運んでいた死霊を聖なる光で消滅させ、連絡事項を運んでいた死霊を殴り砕き、ついにとある事務室……王国財務部会計課の事務室に辿り着いた。'],,,,,,,,,,,,,,,,,,,,,,,,,,,['「あっ、良いね。共に戦った仲間を裏切れないって体なら外面も傷付かないし。お互い、ひと族のごたごたに巻き込まれたからそういう建前の訓練にするって身内には伝えておこう。と言うことで勇者君、ひと族代表で頑張って」'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['『はっはっは……長生きはしてみるものですね。ええ、ええ。争いましょう。諍いましょう。魔道を、叡知を削り合いましょう……！』'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5927EXline_info_n,,,,,"['\u3000俺が大家さんと日常的に仲良くいちゃいちゃしてる姿を見て嫉妬した大家さんのふぁんくらぶ（まじであるらしい）の誰かが、暴走して俺に天誅をお見舞いしたのだろう。きっとそうに違いない。俺だって、もし大家さんのふぁんくらぶに所属していて、大家さんが男といちゃいちゃしているのを見たら、凶刃を走らせることに迷いはないだろう。\n', '\u3000俺が大家さんと日常的に仲良くいちゃいちゃしてる姿を見て嫉妬した大家さんのふぁんくらぶ（まじであるらしい）の誰かが、暴走して俺に天誅をお見舞いしたのだろう。きっとそうに違いない。俺だって、もし大家さんのふぁんくらぶに所属していて、大家さんが男といちゃいちゃしているのを見たら、凶刃を走らせることに迷いはないだろう。\n', '\u3000例えば新しく始まったあにめで気に入ったきゃらのしーんだけを抜粋してまとめた動画を自分用に作ったり、いかちゃんとただいちゃいちゃするだけの俺得ＳＳを綴ったり、いかちゃんを『おちが無くてつまらん』とかでぃするあにめ系ぶろぐに粘着して荒らし続けたり……そんな事をしていたら、掃除をする時間なんてない。時間が足りな過ぎる。\n']",,,,,,,,,,,['\u3000だって見えないもん。さっきまでは美咲ちゃんがかっこ可愛く戦ってる姿が見られてうはうはだったけど、今……おっさんが嬉しそうに苦悶の声をあげながらぼこぼこにされてる光景しか見えないもん。俺は一体何を見せられてるんだ。おっさんがりょなられて喜ぶ性癖なんて持ってないよ。もっと美咲ちゃんを見せてくれよ！\u3000ばとるの解説も雑になるわ！\u3000つーわけで以下略。\n'],,,,,,,,,,,,,,,,,,"['\u3000俺が過去話の回想をしていると、すぐ近くのまんほーるが突然、かたかた揺れだした。\n', '\u3000少女と2人で震えていると、まんほーるの蓋のかたかたがどんどん激しくなってきて――爆発した。\n']",,,,,,,['\u3000夏真っ盛りだ。地面を見ると焼け焦げてからからになったみみずが散らかっている。ちょっと焦げ過ぎた焼きそばっぽい。\n'],,,,,,['\u3000ばたばた走る音、そしてがたがた何かを動かす音が聞こえた。\n'],,,,,,,,,,['\u3000来世に使うだろうぽいんとをがりがり削っているような気がする。このまま来世ぽいんと（だろう物）を今使ってしまったら、来世の俺、生物を通り越して無機物――缶じゅーすのぷるたぶになっちゃわない？\u3000大丈夫？\u3000可愛い女の子が自ら開けてくれるならいいけど『あーん、開けらんなーい。お願い♪』とか言って胸毛ぼーぼぼーのおっさんに開けられたら死んでも死にきれないぞ……。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000触覚――今触れてるこのすいっち……何だか温かい。俺が何度もくりくりするから照れたのかな？\n', '\u3000露出している皮膚を真っ赤に染めた先輩は、突然立ち上がって先ほどまで俺がくりくりしていた電気すいっちに走って行った。\n']",,,,,,,,,,,,,,,,,"['\u3000ただいつまで経っても、お迎えが来ない。そろそろ天使ちゃんたちが舞い降りて俺を連れてってくれてももいい時間なんだが……それに、ないふやら包丁でぐさっと来た割りには、それほどお腹が痛くない。最初の一撃から｜継続《すりっぷ》しただめーじが無い。本来、刃物で相手を仕留めるなら、突き刺した後に内蔵に深刻なだめーじを与える為、ぐりぐりと抉り込むはずなのに。\n', '\u3000少女はぶるぶる体を震わせ、俺の腹部に押し付けた顔をぐりぐり動かしている。\n']",['\u3000れんじのすいっちを入れ、ぐるぐる回る皿を眺める。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000聴覚――ごそごそといった衣擦れの音。これは、恐らく先輩が服を着替えている音だろう。え、生着替えってこと？\u3000こんな昼間っからＪＤの生着替えてとか放送していいの？\u3000土曜の深夜じゃねーんだぞ？\u3000え、何の話ってのりのりて――あ、住んでる所がばれる。\n'],['\u3000文字通り物体を透けて見ることができるのだ。えりざがいなくなってからあったごたごたで使えるようになった能力である。\n'],,,,,,,,,['\u3000そりゃ困る。何もせず家でごろごろする日が欲しい。何もしないことをする――それって人間に許された究極の特権だし。きっと将来、社会に出たらその特権も剥奪されるだろうし、今の内に謳歌しておきたい。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000太陽の熱がじりじりこんくりーとを照らしている。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000ただいつまで経っても、お迎えが来ない。そろそろ天使ちゃんたちが舞い降りて俺を連れてってくれてももいい時間なんだが……それに、ないふやら包丁でぐさっと来た割りには、それほどお腹が痛くない。最初の一撃から｜継続《すりっぷ》しただめーじが無い。本来、刃物で相手を仕留めるなら、突き刺した後に内蔵に深刻なだめーじを与える為、ぐりぐりと抉り込むはずなのに。\n', '\u3000ここで俺がTOUJO！\u3000守るのはYOUJO！\u3000おっさんが浮かべる苦悶のHYOUJO！\u3000そろそろ終わらせないと気になるKINJOからのKUJO！\u3000れみ×咲はSIJO！\n', '「そろそろ行こうか」\n', '「じゃあ、ぼくはそろそろ行くよ」\n', '\u3000俺も「そろそろ混ぜろよ！」とか勢よくその輪に入って、withB（一緒にばいと）したい。\n']",,,,,,,,,,,,,['\u3000あくまで基本的に、だ。受験勉強をしてたり、部活に打ち込んでたり、憧れな先輩を助ける為にさまーなうぉーずに挑んだり、死体を探しに友達と冒険したり、部室に現れたたいむましんをしょうもない事に使ったり、しんくろないずに挑んだり、隣に越してきた不治の病の男の子と遊んだり、武勇伝がまじでぱねえ叔父さん達と夏の休日を過ごしたり、花火を上から見たり下から見たり……色々な過ごし方があると思うが、ほとんどの人間は、だらだら遊ぶものだ。何の生産性もない、ただの暑いだけの夏を過ごすのだ。\n'],,['「ああ、君にとってはそんな事だろうね。いくらぼくが君に会えなくて辛かろうと君は違う。夏休みの間ぼくに会えなくてなっても何も感じていない。はは、ははは……あ、その事実って結構辛いねこれ。胸がちくちくする。あれ？\u3000なぜか、目の奥が熱くなってきたんだけど、目から何か液体のようなものが出そうだ……生まれて初めての経験だ」\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000少女と2人で震えていると、まんほーるの蓋のかたかたがどんどん激しくなってきて――爆発した。\n', '\u3000だって、この部室の主である先輩は、普段から俺にすたんがんをかましたり、拉致して椅子に縛り付けたり、肩を露出して湿布を貼らせたり……と、かなりさぷらいずな演出をお見舞いしてくるし、たまには俺の方からお返しという名の逆さぷらいずをしてもいいんじゃないだろうか。ちなみに露出肩湿布に関してだけは、今後もどんどんお願いしたい。\n', '\u3000遠藤寺が残念そうな表情を浮かべた。うっ、ちょっと心が痛い。思わず『うっそー！\u3000行く行くー☆\u3000ごーとぅぎゃざー！』といけいけどんどんしたかったが、先約である先輩を放置するわけにもいかない。あの人も結構根に持つたいぷだからな。また黒魔術という名のすたんがんをお見舞いされちゃかなわない。\n']",,,,,,,['\u3000遠藤寺はにやにやとした笑みを浮かべながら、どこか試すような口調で喋る。\n'],,,,,,,,,,,,['\u3000ろりがいなくなった事でやる気を無くしたおっさんは「もういいわ。ろりがいないからかーえろ」とのしのし帰ってしまった。\n'],,,,,,,,,,,,,,,['\u3000ばたばた走る音、そしてがたがた何かを動かす音が聞こえた。\n'],,,,,['\u3000美咲ちゃんが突然屈みこむ。そしてじゃーじの裾を捲り上げた。そして現れる女子高生の脛――に巻き付く無機質感ばりばりの重り。\n'],,,,,,,,,,,,,,,['\u3000ただじっとこちらを見ている。顔はいつもの通り見えないが、ろーぶで隠されたその表情からは何かしらの圧力――恐らくは非難の感情がひしひしと伝わってくる。\n'],,,,,,,,,"['\u3000すかーとがひらひら揺れてる。\n', '\u3000実際すかーとのひらひらを見るっての凄くの愉しいから、反射的にそう答えてしまった。\n']",,,,,,,,,,,,,,,,,,,,,,['\u3000名前は一の瀬辰巳。年齢はひみつ。ぴちぴちの大学1回生だ。\n'],,,,,,,['\u3000ぴょんぴょんと身軽そうに跳ねていた美咲ちゃんが、地面を蹴る。\n'],,,,"['\u3000おっさんは半日昏倒するだろう一撃を食らったとは思えないほとぴんぴんしていた。\n', '\u3000ただの思い込み（ぷらしーぼ）にしか思えない発言だが、実際美咲ちゃんの一撃を食らってもぴんぴんしている。\n']",,,,,,,,,,,,,,,,,,,"['\u3000楽しそうに足をぶらぶらさせていた。\n', '\u3000どうやら足をぶらぶらさせていたから、体も揺れていたらしい。\n']",,['\u3000少女はぶるぶる体を震わせ、俺の腹部に押し付けた顔をぐりぐり動かしている。\n'],,['\u3000俺の言葉にくすぐったそうに笑う美咲ちゃん。尻尾が生えてたらぶんぶん激しく揺れているだろう。うーん、やっぱり犬っぽい。匂いでこの場所まで辿り着いたとか、更に犬っぽさを感じる。ん？\u3000犬だったら唐突にち〇ちんって声をかけても法には触れないよな……。\n'],,,,,,,,,,,['\u3000拠点に入られてぷんぷんなあい〇ず様みたいな声をあげつつ、おっさんは闇雲に手を振り回した。\n'],,,,,,,,,,,,,,,,,,,,['「人を変わり者ほいほいみたいに言わんでくれる？」\n'],,,,,,,"['\u3000だって見えないもん。さっきまでは美咲ちゃんがかっこ可愛く戦ってる姿が見られてうはうはだったけど、今……おっさんが嬉しそうに苦悶の声をあげながらぼこぼこにされてる光景しか見えないもん。俺は一体何を見せられてるんだ。おっさんがりょなられて喜ぶ性癖なんて持ってないよ。もっと美咲ちゃんを見せてくれよ！\u3000ばとるの解説も雑になるわ！\u3000つーわけで以下略。\n', '\u3000うーん、ふろーらる。ちょこみんとの香りがする。あ、ちなみに俺、ちょこみんと味のこと歯磨き粉味って言っちゃう人を見たら例外なくぼこぼこにするたいぷの人だから、その辺踏まえて欲しい。ん？\u3000ぼこぼこにする方法？\u3000そりゃそいつの家に寿司やらぴざの｜宅配地獄《でりへる》ですわ。本当の強者は自ら手を出さないってね。\n', '\u3000うーん、ふろーらる。ちょこみんとの香りがする。あ、ちなみに俺、ちょこみんと味のこと歯磨き粉味って言っちゃう人を見たら例外なくぼこぼこにするたいぷの人だから、その辺踏まえて欲しい。ん？\u3000ぼこぼこにする方法？\u3000そりゃそいつの家に寿司やらぴざの｜宅配地獄《でりへる》ですわ。本当の強者は自ら手を出さないってね。\n']",,['\u3000ただその後、ちょっと悪い顔でぼそぼそと\n'],,,,,,,,,,,,,,,,['\u3000普段だったら洗い物をするえりざを眺めなあら、すまほげーをぽちぽちしたり、きてれつ大百科の再放送を見るのだが、どうにもやる気が起きない。今、きてれつを見たらころ助と仲良く遊ぶきてれつにむかついてあんちすれを立ててしまいそうだ。\n'],,['\u3000何より先輩と過ごすのは結構楽しいし。先輩結構無自覚にえろいし。いい匂いするし。ここが無くなったら俺、この大学内で暇を潰す所無くなるし。大学構内にぽつぽつ休憩すぺーすあるじゃん？\u3000あそこで衆目に晒されながら休憩できる人ってまじで尊敬する。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,['「……もぐもぐ」\n'],,,,['\u3000もじもじと手の指と指を突き合わせる。\n'],,,,,,"['\u3000この麦わらわんぴーす小学生は、俺が住んでいるあぱーとの住人だ。先ほども述べた通り、すけっちぶっくによる筆談をこみにけーしょんの主としている。あと、ぱぱが筋肉もりもりまっちょまんので怖い。\n', '\u3000俺別に縛りぷれいで生じる達成感とかに興味ないし。序盤で強武器手に入るなら、平気できゅーそねこかみ入手するし、ぶらっどふぁーむももりもりするし。\n']",,,"['\u3000ゆらゆら揺れる光、蠟燭だ。\n', '\u3000足取りがいつもより軽快なせいか知らないが、普段は微動だにしないすかーとが……ゆらゆらしてる。\n', '\u3000膝裏くらいの長さのすかーとがゆらゆら。ゆらりと持ち上がり、白いおーばーにーそっくすの付け根まで見える。\n']",,,,,,,,,,,,['\u3000わくわくが止まらない。\n'],,,,
N3055DYline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000殺しあう玉ねぎ、じわじわと焼け死ぬじゃがいも', '\u3000私も6月に開かれる総攻撃(そうこうげき)に呼ばれていて、今からすごくじわじわです。', '\u3000父さんも母さんも、弟も、友達も、この星に巣食(すく)う虫けらもみんな呼んで、じわじわと殺そうよ！']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6655CTline_info_n,,,,"['\u3000今日の魔女はいそいそと忙しそう。\n', '\u3000魔女がいそいそとお出掛けの準備をしています。\n']",,,,,,,,,,,,,"['「むしろ芋煮こそです。さぁお義母様、私に続いて復唱してください。芋煮うまうま、芋煮うまうま」\n', '「むしろ芋煮こそです。さぁお義母様、私に続いて復唱してください。芋煮うまうま、芋煮うまうま」\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000なにやら今日はがたがたと音が……。\n', '\u3000新年早々、鏡ががたがたと震えています。\n']",,,,,,,,,"['がらがらがらがら……がっ\n', 'がらがらがらがら……がっ\n']","['「そうしてついに人間は魔女の怒りを沈めるためにって生贄を寄越してきたのよ。どこから連れてきたのか知らないけど、がりがりに痩せた貧相な娘だったわ。あれに比べたらかまぼこの板だってもっと厚みがあるわよ」\n', '「がりがりの娘なんて貰ってもどうしようもないから、とりあえず美味しい乳酸菌飲料を飲ませておいたわ」\n']",,,,,,,,,,,,,,,,,,,,,,,,,,['「くすんくすんもぐ、くすんもぐもぐ」\n'],,,,,,,,,,,,,,,,,,,,,,"['じゅ……ぐつぐつ\n', 'ぐつぐつぐつぐつ\n', 'ぐつぐつぐつぐつ\n', 'ぐつぐつぐつぐつ\n', 'ぐつぐつぐつぐつ\n', '「えぇそうね。ぐつぐつに茹でて……」\n']",,,,,,,,,,,,,,,,,,,,,,,['「こつこつにも程がある」\n'],,,,,,['\u3000魔女は着ている黒ろーぶにころころをかけています。\n'],['＼こんこん／\n'],,,,,,,['\u3000扉にごつんごつんと何かがぶつかっています。\n'],,,,,,['にゃんにゃんごろごろ、うなんなごろにゃん\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['「神主はまだ二塁にいます！\u3000さぁご主人様、今のうちにじゃんじゃんお賽銭を入れましょう！」\n'],,,,,,,,,,,['「しょぼーん、すごすご」\n'],,,,,,,,,,,,,,,,,,,,,,"['「さてそろそろ殺し合いも終わって真のいけめんが決まった頃ね。さっきから鏡が見当たらないあたり、おおよそのおちは見当がついているけど、一応扉を開けましょう。さぁ、過酷な殺し合いを生き抜いた真のいけめんは誰なのかしら……！」\n', '「ただいま魔法の鏡、十分楽しんだしそろそろ帰りましょう」\n']",,,,,,,,,,,,,['「ほらご覧なさい。こんなだらだらと五十話もやってるから二世帯築いちゃったじゃないですか」\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['「このあいだしゃんてぃの柄をつんつんなでなでしていたのを見られたから、もしかしたらみっちぇるは嫉妬してしまったのかも」\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000日焼けの跡がひりひりしている魔女が魔法の鏡に問いかけます。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['「そうね。わざわざ外に出て掘るのも面倒だし、このふかふかのくっしょんで埋めましょう」\n', '\u3000魔女は暖炉の前で引っくり返ったしゃんてぃのお腹をふかふかと撫でています。\n', '「暖まった猫は普段よりふかふかだわ。あら、あしだかごちょ……上等兵ってば、さっそくごき○りを捕まえたのね」\n']",,,,,"['「ふむふむ、それは確かに叫ぶわね。でも毎度叫んで割れてたら大変じゃない？」\n', '「ふむふむ」\n', '「ふむふむ、素敵な光景ね」\n']",,,,,,,,,,['「鏡、さっきから何をぶつぶつ呟いてるの？\u3000そういえば、私の知り合いにあわてんぼうのさんたくろーすがいるのよ」\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['「くすんくすんもぐ、くすんもぐもぐ」\n', '「もぐもぐもぐもぐ」\n', '「もぐもぐもぐもぐ」\n']",,,,,,,,,,,,,,,,,,,,,,,,,['「枠さん、枠さん、｜枠枠《わくわく》さん！\u3000……鏡さん」\n'],['「裏面にごき○りが引っ付いたんです。俺は鏡なんで手も足も出せないどころか手も足も無いのに、やつは無遠慮にわさわさ這い上がって来るし……」\n'],,,
