,あっぷあっぷ,いそいそ,いちゃいちゃ,いらいら,うきうき,うじうじ,うだうだ,うつらうつら,うはうは,うろうろ,うんうん,おいおい,おどおど,おろおろ,かさかさ,かたかた,かちかち,かちゃかちゃ,からから,かりかり,かんかん,がくがく,がたがた,がたんがたん,がちがち,がちゃがちゃ,がつがつ,がばがば,がらがら,がりがり,がんがん,がーがー,きびきび,きょろきょろ,きらきら,きりきり,きんきん,きーきー,ぎざぎざ,ぎしぎし,ぎすぎす,ぎとぎと,ぎゃーぎゃー,ぎりぎり,くしゃくしゃ,くすくす,くすんくすん,くたくた,くちゃくちゃ,くどくど,くにゃくにゃ,くねくね,くらくら,くるくる,ぐいぐい,ぐずぐず,ぐだぐだ,ぐちゃぐちゃ,ぐでんぐでん,ぐらぐら,ぐりぐり,ぐるぐる,けちょんけちょん,けろけろ,げらげら,こそこそ,こつこつ,こてこて,ことこと,ころころ,ごくごく,ごしごし,ごたごた,ごちゃごちゃ,ごてごて,ごりごり,ごろごろ,ごーごー,さくさく,さばさば,さらさら,ざくざく,ざらざら,ざわざわ,しゃぶしゃぶ,しゃりしゃり,しゅるしゅる,しゅんしゅん,しーしー,じめじめ,じゃんじゃん,じゃーんじゃーん,じりじり,じろじろ,じわじわ,じんじん,すかすか,すごすご,すたすた,すぱすぱ,すらすら,するする,すれすれ,すーすー,ずたずた,ずぶずぶ,ずらずら,ずんずん,せかせか,そろそろ,ぞろぞろ,たったっ,たどたど,たらたら,だくだく,だらだら,ちかちか,ちびちび,ちまちま,ちょいちょい,ちょくちょく,ちょこちょこ,ちょぼちょぼ,ちょろちょろ,ちらちら,つやつや,つらつら,つるつる,つんつん,てくてく,でかでか,でぶでぶ,でんでん,とげとげ,とことこ,とぼとぼ,とんとん,どきどき,どさどさ,どたどた,どろどろ,どんどん,どーんどーん,なみなみ,なよなよ,にこにこ,にゃーにゃー,にやにや,ぬくぬく,はきはき,はっはっ,はらはら,ばかばか,ばさばさ,ばしばし,ばしゃばしゃ,ばたばた,ばちばち,ばっさばっさ,ばったばった,ばらばら,ばりばり,ばんばん,ぱかぱか,ぱくぱく,ぱちぱち,ぱらぱら,ぱんぱん,ひしひし,ひそひそ,ひやひや,ひょろひょろ,ひらひら,びくびく,びゅーびゅー,びりびり,びんびん,ぴかぴか,ぴくぴく,ぴょこぴょこ,ぴよぴよ,ぴんぴん,ぴーぴー,ふかふか,ふがふが,ふむふむ,ふらふら,ふわふわ,ふんふん,ふーふー,ぶくぶく,ぶつぶつ,ぶよぶよ,ぶらぶら,ぶるぶる,ぶんぶん,ぶーぶー,ぷるぷる,ぷんぷん,へらへら,べたべた,ぺこぺこ,ぺたぺた,ぺらぺら,ほいほい,ほろほろ,ぼこぼこ,ぼさぼさ,ぼそぼそ,ぼちぼち,ぼりぼり,ぼろぼろ,ぼんぼん,ぼーぼー,ぽかぽか,ぽちぽち,ぽつぽつ,ぽつりぽつり,ぽんぽん,まじまじ,まちまち,まるまる,むくむく,むしゃむしゃ,めちゃめちゃ,もくもく,もじゃもじゃ,もそもそ,もぞもぞ,もたもた,もやもや,もりもり,ゆらゆら,ゆるゆる,よちよち,よぼよぼ,よれよれ,わくわく,わんわん,わーわー
N0005ETline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ちょうどその頃、家の引っ越しなどで家庭内がごたごたし始めたこともあり、漫画を描ける環境がなくなってしまった。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000じゃんぷに漫画を持ち込みに来ました、とたどたどしく伝える。\n'],,,,,,,,,,,,,,,,,,,,,,,,['\u3000とんとんと原稿の端を机で整えながら、ようやく長谷川さんの口が開いた。\n'],,,,,['\u3000その一ゖ月が、長谷川さんの手の中でどんどん過ぎていく。\n'],,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ぱらぱらと雑にぺーじをめくり続けた友人が、のーとを自分に戻した。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000主人公にいつもぼこぼこにされるめがね参謀きゃらの名前は「めがね」。\n'],['\u3000すね夫みたいな尖った前頭部に、ぼさぼさの後ろ髪。常に釘が刺さったばっとを振り回す危ない男。そして被った帽子には「やんまー」の文字。\n'],,,,['\u3000ぼろぼろになったざら紙には、きわめてらふな地図と住所だけが記されていた。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8670DYline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000これはきちんと自分で型紙を作るしかないな……と出来に不満たらたらだった為、腹いせに端材の余りで作れそうな物をぐぐってたら冒頭の発見。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2037EOline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000というのも今年は１月にも白大福に近い状態になる程度に雪は降っており、その時は掘り起こし、通り道を雪かきすれば遅刻ぎりぎりで会社に間にあったのだ。だから今回もまた同じ程度か、多くてももうちょっとやばい程度だろうと高をくくっていたのだ。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000あまりに多い雪の量により雪を捨てることができる場所がどんどんなくなってゆく。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4786EKline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['私はそれを見たとき「本当にそれがめっきじゃないならいいんじゃない？」と思ったけど、あえて表で主張できるほどの立場でもないし、こそこそ裏で真実を探求しようとしては、様々な人間と出会ってきただけの社会的弱者に過ぎない。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['・例の●流出で問題が暴露され、筆者を含めた者達が「こいつらが元凶」と騒ぐようになって隠れるのをやめてから鎮火、その後、間をおかずににこにこ動画が角川傘下へ入り、その流出前あたりににこにこと２ちゃんねるから件の管理人は距離を取るようになっていった。', '・例の●流出で問題が暴露され、筆者を含めた者達が「こいつらが元凶」と騒ぐようになって隠れるのをやめてから鎮火、その後、間をおかずににこにこ動画が角川傘下へ入り、その流出前あたりににこにこと２ちゃんねるから件の管理人は距離を取るようになっていった。', 'そして出来たのが「にこにこ動画」', 'さらにゆーざーが己自身を曝け出すことで様々な人間が世にいるということを知ることが出来る上、ある程度匿名性が確保された公共の場というのは初期から彼が離れ始める前までのにこにこでは実現できていたと思う。', 'このにこにこ動画ではBio100%の集団が全面的に関わり、所期の開発者にはBio100%の者達が名を連ねていた。', 'じむなんたらとかいう人物よりも露骨に２ちゃんねるの管理人はにこにこを乗っ取られたが、その件について怒りを見せないのはそれだけ強い影響力があるのか、彼の理を筆者なりに理解しようとして展開してみると「用済みなのでくれてやった」と考えるべきか。', 'まぁ、にこにこ動画が完全に風前の灯なのは理解している。', 'ただしにこにこはよくやったと私は思ってる。', '角川関係のらいとのべるのあにめのこめんと削除騒動などを含めて、表側に引っ張り出す流れを作ったのは、にこにこを愛していた利用者達だ。（今にして思えば即効削除された角川系あにめのらんきんぐ偽装問題などもすごかったね）', '採算が取れるはずがないぐらいの人数で動画やねっと上の監視をやっていたことを2006年の時点で表に公表してたけど、これはにこにこでの工作活動を探る者達が燃料というか糧としていた事はあんま知られていないかな。', '2つ目、Bio100%という存在が２ちゃんねるにも関わったというのを彼ら自身と２ちゃんねるの管理人がにこにこにおける対談などで暴露してくれたこと。', 'その流れはそのまま最終的に公でのにこにこの公開生放送での議題にもなったが、その頃にはもう畳むという方向性で動いていたようだし、振り回される前に店じまいしてしまおうという流れがあったのだろう。', 'ただ、彼からはじぶり愛とかにこにこ動画などのこんてんつ愛だとか、享受できたことが1度もない。', 'しかしまさしくそう主張しているとしか思えないのが川上なんたらさんであり、今回のにこにこについての発表だってまさしく「もうぶらんど価値ないのでたたみまーす」というような主張を言い訳を繰り返しながらやっていた。', 'それとももうにこにこ自体を「用済み」だと本人以外も思っているのだろうか。']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['筆者からすると「中国のぱくり品といわれるが明らかに機能も能力も上」のびりびり動画が全ての面で上回っていて、そっちが収益性確保しているのを見るとまだ未来があると思うのだが。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['庵野監督周辺にそんな話をぺらぺら喋るような人間いないでしょう。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5751EJline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ＷＥＢ小説で挿絵もついてないのに、同じ人間を指す呼び名が史実通りころころ変わっては話にならないです。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['浪人して放浪していても、数人の召使をつれてぞろぞろと歩いていたわけです。それによって自らの身分を誇示し、だからこそ侍として旅先でそれなりの扱いを得ています。\n'],,,,,,,,['\u3000で、話を元に戻しますが銭の話。銅銭ってのは銅でこう銭の形をして積み重ねて使うのですが、日常的な支払に使われると刻印もすり減るしだんだん薄くなってくる。ひどい奴になると支払いに使う銅銭をちまちま削って銅の削りくずを転売したりする。\n'],,,,,,,,,,,,,,,,,,,,,,,['攻め太鼓。よせ太鼓とも。どんどんどんと早く叩きます。攻める感じですね。\n'],['引き太鼓。退き太鼓。どーんどーんどーんとゆっくり叩いて逃げる感じ。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000何が言いたいかというと、主人公がちーと商品つくって商人とやりあうにあたって、いきなり貰える報酬がぴかぴかの永楽銭だったら違和感があるってことです。やりての商人だったらまず支払いはどれだけ鐚銭を混ぜるかが勝負ですから、新規の取引相手には鐚銭中心で払うでしょう。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['で、何が言いたいかというと、転生者がよく一人でほろほろ歩いていますが、一人で歩いているのは下人です。最下級の奴隷階級とみなされます。さらに服装も珍奇で刀も差していなければもう人間扱いはされません。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1787EIline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['読者の方は誰も指摘しないので『もしかしてちゃんと理解していない方は多いのか？』と思い、他にもあった色々な箇所と纏めて間違いを指摘するべきかと思ったのですが、作品のふぁんですら無い私が考証をしてだめ出しを大量に送る事って、普段私が言っている正論だけをがんがん言う駄目なあんちになるのではないか？'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['そうではなくてはその作品のせいで簡単に出来ると誤解が広がります、基礎の苦労を無視したり下に見たにも関わらず、ふわふわな知識で異世界で適当に出来ると思い込むのは現代の理論先行の弊害といえるかも知れません、これを避けるために敢えてちーとやご都合主義を使うのは正しい手だと思います。', '今まで知らずに読んでたとしても、ここに書かれている事を見た後だとふわふわ知識で適当に書かれると、違和感しか残らない予感がしませんか？']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0319EHline_info_n,,,,,,,,,,,,['「おいおいえきすとら、こんながきが俺と同じBらんくだって？」'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000小説というのは脳内設定をつらつら書いて晒すものではありません。そういう設定を作るのは自由ですが、「どこを見せるのか」「どう見せるのか」「何を見せるべきか」「何を見せなくていいのか」というところを吟味して文章にするものです。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5017EJline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000真導士／魔導士／黒／逆／種類？／階級／師匠／役職／国民から選ばれる／儀式／数が少ない／女の子／成人したて／大人になりきれていない／十五歳／がーるみーつぼーい／引っ込み思案／人見知り／物知らず？／てーまからー／光／白／不思議な女の子／謎の力／青／助けてもらう？／訳あり／悪者に襲われる／戦う？／まだ戦えない／逃げる／ぴんち／初恋／強くなっていく／成長／れべるあっぷ／体のどこかに真導士の証／三つ目／真／真眼／魔法陣／真円／真力／真術／成長物／落ちこぼれ／真力が低い／条件ぎりぎり／印象薄め／特徴がない／一緒に里を目指す／こんとらすと／ひーろーは主人公の鏡…………\n', '\u3000女の子／成人したて／大人になりきれていない／十五歳／不思議な女の子／謎の力／青／助けてもらう？／訳あり／悪者に襲われる／戦う？／まだ戦えない／逃げる／ぴんち／初恋／強くなっていく／成長／れべるあっぷ／落ちこぼれ／真力が低い／条件ぎりぎり／印象薄め／特徴がない\n']",,,,,,,,,,,,,,,,,,,,,,,"['\u3000それはこつこつと小説を書き、投稿をつづけて、評価してくれる読者がたずねてくる機会を増やすことです。\n', '「毎日こつこつやっていけばいいんだ。それなら、毎日○ぺーじずつ書いていこう！」\n', '\u3000時間がかかるからこそ、毎日こつこつという選択は利にかなっています。\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000・すらすらと読めてしまう、読むのが楽な小説。\n', '\u3000いざ自分で小説を書いてみたら、心理描写はすらすらと筆が進み。逆にあくしょんがうまく書けず、四苦八苦しながら絞り出すはめになりました。\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000書きあげた小説を公開すると、とてもどきどきしますよね。\n', '\u3000小説を公表すると、思わぬ反響があってどきどきしたり。\n']",,,,"['\u3000どんどん書き進めていけます。\n', '\u3000書きはじめてしまえば興にのり、どんどん書きつづけられます。\n']",,,,,,,,,,,,,,,,,,,,,,,,,['\u3000書籍ならば、目を閉じてぱらぱらとめくり、適当なぺーじを開いてください。\n'],,,,,,,,,,,,,,,,,,,['\u3000……ふむふむ、なんとなくわかったぞ。よし、もう一度書いてみよう！\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ぽつりぽつりと書かれている感想。\n'],,,,,,,,['\u3000もくもくと読んでいって、一区切りまで到達した読者は、どういう行動をとると思いますか？\n'],,,,,,,,,,,,,,
N4554ERline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['皆正しいことをしているのに、どんどん酷い目に遭うわけです。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3118EWline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000良作がどんどん埋もれていく。これはとても悲しい。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
