,アップアプ,アーカン,アークラ,アーグラ,アータラ,アーブラ,アーブル,アーポン,アーユル,イソフラ,イラクサ,ウキチロ,ウジギク,ウジャウジ,ウマクサ,ウラジー,ウンアプ,ウングー,ウンゴー,ウンタラ,ウンチク,ウンチン,ウンドキ,ウンドク,ウンドシ,ウンドタ,ウンドボ,ウンヒラ,ウンワー,エングリ,エンゴロ,エンジン,エンドロ,エンベロ,エンペッ,エンペラ,オイスタ,オタマジ,オメツケ,オロギー,オロチョン,オンガー,オンキリ,オンスー,オンプラ,オンボロ,カサブラ,カステラ,カタクリ,カタコト,カチコチ,カチャカチ,カッチー,カッパー,カッピン,カップラ,カップリ,カップル,カッポカッ,カラクリ,カラボリ,カランカラ,カリクル,カリタッ,カリブー,カンコン,カンジュー,カンテラ,カントン,カンバン,カンパチ,カンベン,カーゴシ,カービン,カーペッ,カーボン,カーンカー,ガクブル,ガサゴソ,ガタキシ,ガタパー,ガタピシ,ガチャガチ,ガラクタ,ガラスレ,ガラスー,ガリスク,ガリバリ,ガリポリ,ガングー,ガンジー,ガーデン,ガーリン,キコモリ,キャッサバ,キャッチー,キューコン,キューパー,キューピッ,キラワク,キリオン,キリボー,キンカツ,キンカン,キンクリ,キングス,キングタ,キンコン,キンシコ,キンシッ,キンブルン,キーアー,キージャン,キーパー,キーボー,キーポイ,キーワー,ギコバタ,ギトゴテ,ギリスポ,ギリワン,クスカリ,クスクリ,クスクー,クスグリ,クスシー,クススパ,クスブリ,クタウン,クタクル,クタワー,クダウン,クッキリ,クッキン,クッキー,クッサク,クラウン,クラシッ,クラシー,クラスタ,クリアー,クリオロ,クリスタ,クルコン,クルシュー,クルスク,クルセカ,クンドク,クンドン,クンハー,グスカー,グスクー,グストロ,グスペッ,グラウン,グリキャッ,グリゴリ,グリボー,グルカン,グルマザ,グルメリ,グルングル,グーグル,グーパン,グーパー,ケタガラ,ゲーチー,ゲートボ,ゲーピン,ゲームク,ゲーリン,コッキン,コックラ,コックリ,コットン,コテンパン,コロジー,コロンブス,コンカラ,コンカン,コンキラ,コンキン,コンギス,コンクリ,コングリ,コンスタ,コンチン,コントロ,コンドロ,コンドー,コンパク,コンパッ,コンビー,コンピュー,コンプラ,コンプリ,コンポー,ゴクリゴク,ゴシポー,ゴチャゴチ,ゴーグル,ザーガン,ザーグー,ザーワー,シックス,シックリ,シックル,シャンカシャ,シャンパン,シャンプー,シャープス,シャーペン,シュンベリ,シュークリ,シーガー,シーキン,シーザー,シーズン,ジャンキー,ジャングル,ジャンスー,ジャンボタ,ジャーアプ,ジャーキー,ジャークラ,ジャージー,ジャーボー,ジャーンジャー,ジューシー,ジューリン,ジンガー,ジンギス,ジングサ,ジングビ,ジンジャー,スイカッ,スイノシ,スイビー,スイフク,スカイラ,スカウト,スカウン,スカゲラ,スカパー,スカベン,スカリン,スクリーン,スクワイ,スクワー,スタドー,スパイラ,スポワー,スラスタ,スレチッ,スーパー,スープカ,スーポー,ズタボロ,ズンバラ,ソロジー,ソロバン,タヂカラ,タッキー,タックル,タッチャブ,タッパー,タッフー,タップリ,チッピン,チップス,チビチチ,チャラカス,チューリン,チョコプリン,チラリチラ,チリパチ,チンギス,チンタラ,チンチクリ,チンチロ,チンドン,チンパン,チンピラ,チンワー,ツヤテカ,ツラウツラ,ツルペタ,ツンガツ,ツンデレ,ツーカー,ツートン,ツーリン,テクノロ,テラシー,テラニャー,デカチン,デカブツ,デコピン,デコボコ,デレクタ,デンブル,デンプン,デンリン,トコトン,トコピー,トログリ,トロチッ,トロピカ,トロフワ,トロポリ,トンエン,トンカツ,トンカー,トンクラ,トンコツ,トンコン,トンスタ,トンタッ,トンチッ,トンチン,ドカメラ,ドキハラ,ドサクサ,ドスチー,ドスピン,ドタソワ,ドタドタッ,ドタバタ,ドロカン,ドロゴテ,ドンガラ,ドンキン,ドングリ,ドンパチ,ドンピシャ,ドンブラ,ドンブリ,ドーピン,ドーワイ,ドーンドー,ナミザク,ニコチン,ノオサラ,ハッキリ,ハッスル,ハッピー,ハラキリ,ハラドキ,ハーコン,ハーシー,ハードカ,ハードボ,ハープー,バカスカ,バカデカ,バキドカ,バシャバシ,バタフラ,バタリオン,バチカン,バリアー,バリカン,バリスタ,バリゼー,バリトン,バリボリ,バンカー,バンクー,パシャパシ,パチクリ,パチャパチ,パッカー,パッキン,パッチリ,パットン,パッパカ,パッパー,パラクラ,パラシュー,パラスル,パラワン,パンカー,パンクタ,パンゲー,パーカッ,パーキン,パークラ,パーチン,パーチー,パープラ,パープル,ヒョロガリ,ヒーカッ,ヒーハー,ヒーリン,ビシバシ,ビショビシ,ビラウン,ビングダ,ビンスク,ビーカス,ビーカー,ビーシー,ビーチチ,ビーチマ,ビードロ,ビーハー,ビーブー,ビーメリ,ピカゴロ,ピカリボー,ピクリン,ピタリピタ,ピンキリ,ピンクサ,ピンコッ,ピンポイ,ピンポン,ピーアー,ピーカー,ピーキー,ピーピン,ピーリン,フンドシ,ブツクサ,ブラウン,ブラギリ,ブラコン,ブラザー,ブラジャー,ブラブル,ブリエン,ブリオン,ブリカス,ブリガー,ブリザー,ブルカラ,ブルガリ,ブルクラ,ブルゲー,ブルコン,ブルジャン,ブルスタ,ブルスー,ブルトン,ブルドー,ブルパン,ブルビー,ブルピー,ブルボン,ブンカー,ブースタ,ブービー,ブーメラ,プスピー,プスブル,プチブル,プラウト,プラシー,プラゼー,プリズン,プリチー,プンスカ,プーチン,ベトガー,ベトコン,ベラドン,ベラリン,ベリスク,ベロドロ,ベロンベロ,ベンガラ,ベンジャー,ベントク,ベントコ,ベントロ,ペックス,ペックダ,ペッタンペッ,ペットボ,ペッパー,ペラグラ,ペンデン,ペントロ,ペンハー,ペンブル,ホイザー,ホイジン,ホログラ,ホロフカ,ボソガラ,ボロカス,ボンキュッ,ボンクラ,ボンソワ,ボンブル,ボーイソ,ボーデン,ボーリン,ポツリポツ,ポリピッ,ポロンポロ,ポンコツ,ポンツー,ポンドク,ポンドス,ポンドブ,ポーカー,ポージン,ポーハタ,マザクラ,マザコン,マジシャン,マジパン,マルガリ,マルキン,マルクス,マルゴー,マルチリン,マルバカ,ミシシッ,ムズアップ,メキシコ,メソポタ,メタボリ,メチャクチャ,メリカン,ヨロシク,リンエン,リンカリ,リンカン,リンカー,リンガー,リングラ,リングリ,リングー,リンスタ,リントコ,リントロ,リントン,リンピッ,リンピー,リンブル,リーンエン,リーンペッ,リーンリン,ワイガヤ,ワイドシ,ワクチン,ワクテカ,ワンクッ,ワンクリ,ワンシー,ワンチン,ワンツー,ワンパタ,ワンパン,ワンピー,ワンポイ,ワーアップ,ワーカー,ワークス,ワークラ,ワースポ,ワーバラ,ワープラ,ワーポイ
N3986DGline_info_k,,,,,,,['「近々フランスのヴァシーでプロテスタントがカソリックによって虐殺される。その結果、フランスは内戦に突入する。ル・アーブルにはイングランド軍が上陸するであろう」\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000その彼女の傍には、俺から駿河国の国主代行に指名された、朝比奈泰朝がカチコチに固まって侍っている。\n'],,,,,,,,,['（この光景を目にしただけで、「鳩の飛び出すカラクリなぞ不要！」と強く反対するカルバン派の時計職人をなんとか宥め、説得した甲斐があったと言うものだ。もっとも、本来はカッコウ、つまりは閑古鳥らしいが日の本では宜しくないからなぁ。ただでさえ、近頃の那古野では良く耳にするし……）\n'],,,,,,,,,,['\u3000そしていずれは、ここ那古野の地に産業革命以降の日本に最大の利益を齎した会社の代名詞とも言われる、カンバン方式を産み出すのだ！\n'],,,,,,,,,,['「lo!\u3000ア、アリガタキシアワセ！」\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000現代の競走馬に擬えるならば、オグリキャップであろうか。\n'],,,,,,,,,,,,,,,,,,,['（木綿と言う事は、コットン？）\n'],"['（いやぁ、危なかった。彼がコテンパンに負けて、性格が変わったら大問題だった。しかし、本当に危なかった。あいつ、本気で勝ちに行くんだもん……）\n', '\u3000でもね、まさか倍の戦力を擁してコテンパンに負けているとは……\n']",,,,,,,,"['「那古野三和土（古代コンクリート）を用いた家屋の普請は概ね順調にございまする。なれど、問題が幾つか」\n', '\u3000何故ならば、俺は天正の大地震を古代コンクリート造の建築物で耐え凌ごうと考えていたからだ。\n', '\u3000それは彼らは初めて目にした、｜三和土《たたき》（和製コンクリート）の色合いであった。\n', '\u3000織田領内にある河川はその要所要所に那古野三和土、言うなれば和製古代コンクリートを用いた護岸工事を施していた。\n', '「運んだ資材を用い、城郭と城下町、それに港町を囲う壁を設けよ。当然、それだけでは足りぬであろう。故に、竹を骨組みとし、｜三和土《たたき》（和製コンクリートの名称）で塗り固めよ」\n', '\u3000竹筋コンクリートに関しては一部の港湾で実績が在る為、誰も異を挟んだりはしなかった。\n', '（それにしても、随分早く開通に漕ぎ着けた物だ。あの難工事が僅か五ヶ月弱で竣工を迎えられるとはな。それもこれも、普請奉行の丹羽長秀と陣頭指揮をとった木下藤吉郎のお手柄か。尤も、コンクリートと言う素材のお陰でも有るだろうがな）\n', '「砲身は三尺（九十センチ）、砲口は半尺。｜三和土《たたき》（和製コンクリート）の砲弾であれば三町の遠きにまで届きまする」\n', '\u3000最近ではコンクリート舗装の道路も増えてきていたらしい。\n', '\u3000で、道路の舗装材に何を選ぶかなのだが……最初に思い浮かんだのがコンクリートだ。\n', '\u3000工房で一定のサイズのコンクリート板を作り、現地で地面の上に被せれば良いか、とな。\n', '\u3000そう、古代ローマで使われていたコンクリート故に古代コンクリート、もしくはローマンコンクリートとも呼ばれる代物だ。\n', '\u3000そう、古代ローマで使われていたコンクリート故に古代コンクリート、もしくはローマンコンクリートとも呼ばれる代物だ。\n', '\u3000そう、古代ローマで使われていたコンクリート故に古代コンクリート、もしくはローマンコンクリートとも呼ばれる代物だ。\n', '\u3000だが、俺は古代コンクリートを道路の舗装材に用いるのをやめた。\n', '\u3000その理由は、「古代コンクリートは実に有用だ。道路に使わず、別の物に使った方が良い。例えば港湾や川などの護岸整備に」と考えたからだ。\n', '（なんせコンクリートブロック造だしな。これなら、火災にも強い）\n', '\u3000壁材に用いるコンクリートブロックは続々と尾張から運ばれている。\n', '\u3000三和土（和製コンクリート）にて造られたそれは、京の都に建つ家屋とは一風変わった趣を呈していた。\n']",,,,['\u3000幕府をコントロールする術を得た事だろうか。\n'],,,,,,,,,,['\u3000懐紙が大き過ぎたのか、ゴクリゴクリと酒が喉を幾度も鳴らし、胃に落ちてゆく。\n'],,,,,,,,,,,,,,,,,"['「そう言えば、挨拶がまだでしたね。初めまして！\u3000僕の名はアルバート！\u3000アルバート・シーガーです！」\n', '\u3000シーガー、船乗りを由来とする苗字だ。\n']",,,,,['\u3000シーソーやブランコは言うに及ばず、滑り台にジャングルジム、綱登りに綱渡り、丸太ステップに丸太吊り橋。\n'],,,,,,,,,,,,,,,,,,,,,['「君をスカウトに来たんだ。航海士を目指す、将来有望な若者をね」\n'],,,,,,,,,['\u3000それも、相手が弱い存在だと知った途端、瞬く間に侵略する、文字通りの｜征服者《コンキスタドール》だと思われた。\n'],,,,,,,,,,,['\u3000そこで、読み書き算術は勿論の事、ソロバンも習得させるのだ。\n'],,,,,,,,,,,,,,,,,,,"['——チンチロチンチロ……\n', '——チンチロチンチロ……\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000汗が顔を伝い、あご髭の先から落ちるのがハッキリと見えた。\n'],['（なるほど。これが柴田勝家が六十という歳を忘れ、毎晩ハッスルしたお市か。確かに美人だな。で、こっちがお犬か。同じく美人だが、目元が優しげだな。ふむ、確かに、転生系主人公が嫁にしたがるだけの事はある）\n'],,,,,,,,,,,,,['\u3000俺の目がバタフライを始めた。\n'],,['\u3000バチカン\u3000教皇宮殿内\n'],,,,,,,,,,,,,,,,,,,['\u3000グライダーやパラシュートも〝飛んでいる〟と言えるのでは無いだろうか。\n'],,,,,['\u3000そう、彼らは所謂”ピンポンパンゲーム”をやっているのだ。\n'],,,,,,,,,,,,,,,,,,,['\u3000ゲームで言うところの”ムービーシーン”って訳だ。\n'],,,,,['\u3000先のお鶴も含め、戦後の織田領内を空前のベビーブームが訪れていた。\n'],,,,,,,,,,['\u3000そう、彼らは所謂”ピンポンパンゲーム”をやっているのだ。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000それはまるで、ブーメランの如き軌道であった。\n'],['\u3000既に信長の馬廻衆はトップスピードで城門を｜潜《くぐ》ろうとしていた。\n'],"['「………………パプスブルグ家の皇后アンナよりはマシであろうが。かの女傑は腹一つで十五、六も子を為したと聞くぞ」\n', '\u3000共にパプスブルグ家に連なる者が支配者として統治していた。\n', '「この千年期、今この時まではそのあらかたを、パプスブルグが思いの儘にしてきた、そう言っても良かろう」\n']",,,,,,,,,,,,,['\u3000その時持ち帰ったオベリスクは未だ、那古野大湊に残っている。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,"['SS『ルイ十四世の弟 オルレアン公フィリップで、ボンソワール』ここに爆誕！\n', '・特典SSは「岡本良勝の回顧録」「ルイ十四世の弟 オルレアン公フリップでボンソワール」の二本となっております。\n']",,,,,,,,,,,,,['『それにこの”ポーカー”なるゲーム！\u3000まるでジェノバ発祥のゲーム”プリミエラ”ではないか！』\n'],,,,,,,,,,,,,,,"['\u3000彼は若くして司祭となり、まずはメキシコへ、更にはスペインの艦隊に同行して現代で言う所の東南アジアに渡る。\n', '「提督、本当にメキシコとハポンの間に島が存在すると思われるのですか？」\n', '「良いか？\u3000南蛮人、それもスペイン帝国から参る者らは、恐らくだがここメキシコはアカプルコと申す港町から、何ヶ月も掛けて日の本のある”東アジア”を訪れるのだ！\u3000その距離、優に八千キロメートル。我らの知る度量に改めると、二千里だ！」\n', '\u3000彼らはボルトガルとは逆に、メキシコから太平洋を横断し、西暦一五二一年フィリピンへと辿り着いていた。\n', '\u3000以降、およそ二百五十年に及ぶ期間、スペインはメキシコ・マニラ間をつなぐガレオン交易を続けた。\n', '\u3000メキシコで産出される銀を東南アジアや中国から得られる産物に代え、その利鞘を稼いだのである。\n', '「全くだ！\u3000ハポネスの奴隷を集めただけの、メキシコの街と言われた方がしっくりする！」\n']",,,,,,,,,,,,,,,,,,,,,,,['——リーンリンリンリン……\n'],,,,,,,,,,"['（何？\u3000俺の策略がワンパターンだとでも！？）\n', '（俺は……、ワンパターンなのか……）\n']",,,,,,,,,,,
N8720EFline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['\u3000粗銅は密かに金と銀を分離したのちに粗銅に戻すと明に売るという名目で津島に運ばれて、オレ達が使ってるガレオン船に偽装した核融合とエンジン付きの船に乗せてそのまま前線基地にしてる小笠原諸島に運ばれてシャトルにて宇宙に打ち上げ要塞シルバーンの工場にて宋銭と明銭になり再び地上に下ろすと粗銅の代金として織田家に納める。\n', '\u3000ガレオン船としては大型で小型の核融合炉とエンジンが付いてる上に、正確な海図にソナーやレーダーとオートバランサーとＧＰＳも普通に使える。\n', '\u3000走らせるにはエンジンを使わないと時間がかかるから今日は無理だけど信長は無言で船や帆を眺めていて、勝三郎達は船の大きさに感動してる。\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['「そうですね。一向衆との戦いの前に物流と経済で侵食して、伊勢長島をコントロール出来れば最良ですね。それが無理でも伊勢長島からのお金が尾張に入れば十分です」\n', '\u3000ただ流石の一向衆も今の織田家が、物流と経済で伊勢長島をコントロールしようとしてるとは気付くまい。\n']",,,,,,,,,,,,,,['\u3000まさか超小型の護身用レーザーガンを持ってるとも言えないしね。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000元は京から流れてきた料理人らしい男で、熱田に居るのを聞いた平手政秀が自らスカウトしたらしい。\n'],,,,,,,,,,,,,,['\u3000結構甘くて病害虫にも強いＳＦのスーパー品種。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000何か金をたかりに来たチンピラにしか見えんのだが。\n'],,,,,,,,,,['\u3000ギャラクシー・オブ・プラネットのパイロットスーツなんかは普通に防弾性能はあるけど、未来の現実にすら存在しなかったオーバーテクノロジーをここで出すのは流石にね。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000人手が足りないから擬装ロボットも置いて、当面は衛星で監視してピンポイントに泥棒を退治するしかないかね。\n'],,,,,,,,,['\u3000見た目は二十歳くらいでブラウンヘアの派手なお姉さんといった容姿をしているが、見た目に影響されたのか派手好きな姉御のような性格をしてる。\n'],,,,,,,,,,,,,,,,,,,['\u3000特に那古屋城郊外に作った牧場には日本の在来馬よりは大きく品種改良に向いてるアラブ馬と、大型のペルシュロンやブルトンなどの史実でばんえい馬になった元の馬を持ち込んだ。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4847EOline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['戦車の弱点である後部のエンジン部分目掛けて彼は機銃を放った。\n', '青と紺色で塗装された機体のエンジンを始動させる。\n', '気が付いた瞬間に、機体を傾けて装甲の厚い主翼部分ではなく、複葉機の構造上装甲が薄いエンジンないし燃料タンクの部分へ攻撃を仕掛けたのだ。\n', '二式17型戦闘機には複座が付いている観測・偵察任務を主体としたモデルがあり、複座仕様となっているのでエンジンの馬力を20馬力ほど上げたものになるようだ。\n', '馬鹿でかい大声が唸っているエンジンよりも響き渡る。\n', '瞬く間に戦車が燃え上がり、そしてエンジンが爆発し戦車が一瞬だけ浮き上がるのが見える。\n', '彼の放った機関銃は機体右翼を撃ち抜いたが、肝心のコックピットやエンジン部分への攻撃を外した。\n', '一方で私の放った機関銃は3発ほどコックピットとエンジン部分に命中したのをこの目で確認する。\n']",,,,,,,,,,,,"['食器プレートには炒めたコンビーフと付け合わせのビスケット、そしてオニオンスープが載せられる。\n', 'オニオンスープにはその名に恥じないぐらいに沢山のオニオンと人参が入っており、香辛料のスパイスが効いた味付けとなっている。\n', 'ビスケットとコンビーフを食べ終えて、少し冷めたオニオンスープをゆっくりと飲み込む。\n', 'オニオンスープを胃の中に流し込んで残り5分、トイレを済ませてから再び弾薬と燃料を補充した戦闘機に乗り込む。\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['中央即応隊にいた補給班の知り合いに聞いたところによると、他国から攻撃を受けた際に攻撃国へ潜入し、要人の暗殺やAK-47やM416カービンライフル、グロック18といった正規の自衛隊では使用されていない武器を使用する訓練を積んでいると聞く。\n'],,,,,,,,,,,,,,,['オスマン帝国はガリポリの戦いで連合国軍が上陸して橋頭堡を築くことに成功し、国内ではイスラム主義者によるアラブの大反乱が発生、アラブ地域の一斉蜂起に国内の治安部隊では対応できず、さらに北部と国境を接していたロシア帝国の総攻撃を受けて総崩れ状態となり、オスマン帝国は終焉を迎える。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['宿舎から歩いて5分のところに佇むコンクリート建築で出来た頑丈な建物。\n'],,,,"['それと同時に機体の左側のコントロールが難しくなった。\n', '動力制御盤…私が航空自衛官だった時は｜制御盤《コントロールパネル》と呼んでいたな…戦闘機にも搭載されているが、まだ計器系統は必要最低限の装置なものだけだ。\n']",,,,,"['食器プレートには炒めたコンビーフと付け合わせのビスケット、そしてオニオンスープが載せられる。\n', '加藤飛行隊長が炒めたコンビーフをスプーンで掬って美味しそうに頬張っている。\n', '次の出撃まであと15分…ゆっくり食べるわけにはいかないが、コンビーフはしっかり噛んでおこう。\n', '炒めたとはいえ、コンビーフ特有のしょっぱさが口の中に広がってくる。\n', '（…コンビーフも不味くはないんだがな………ん？ビスケットはあまり味がないのか………一つ試してみるか………）\n', 'コンビーフをスプーンで掬ってビスケットの上に載せて、その上にビスケットを被せてから口の中に入れると先程までほぼ無味だったビスケットが一変してかなり旨くなった。\n', 'あとビスケットは4枚あるので、残りもコンビーフを挟んでからよく噛んで喉にビスケットの破片が刺さらないように味わう。\n', 'ビスケットとコンビーフを食べ終えて、少し冷めたオニオンスープをゆっくりと飲み込む。\n']",['アナログの照準器しかないこの時代、コンピューターが自動的に速度や高度、敵味方の識別を示すヘッドアップディスプレイ（HUD）や頭部に装着して情報を確認するヘッドマウントディスプレイ（HMD）等の現代的な表示機能は無い。\n'],,,,,,,"['ゴーグル越しに伝わってくる冷気に大粒の雨が顔に叩き付けられる。\n', '激痛が走ったと同時に目の前に血飛沫のようなものがゴーグルに張り付いている。\n', 'だが、顔に何か冷たいものが当たっていると感じた私はゆっくりと目を開けると、目に掛けているゴーグル越しに映ったのは複葉機のコックピットだった。\n', '大粒の雨がゴーグル越しに降りかかる。\n', 'すれ違った一瞬、ゴーグル越しからでもわかるぐらい金髪で長髪の人だった。\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['［＃中見出し］三人称視点7：ライジングサン（下）［＃中見出し終わり］\n', '［＃中見出し］三人称視点6：ライジングサン（上）［＃中見出し終わり］\n']",,,,,,,,,,"['「さて、連合国軍の艦隊がスカゲラク海峡でヴェルトハイム級軍用飛行船を撃墜したのは諸君もよく知っているだろう。あの巨大な悪魔の化身は確かに強敵ではあるが無敵ではない。トロアでイギリス陸軍の第3戦車大隊がフランス軍の第11・12歩兵師団と共に攻勢を仕掛けることになった。場所はトロア…現在この街はドイツ軍の支配下に置かれているが、現在この街を防衛しているドイツ軍は十分な装備が行き届いていないとの報告が上がっている。この写真を見てほしい」\n', 'ドイツ海軍、連合国軍の戦艦も相次いで沈み、スカゲラク海峡は戦艦の漁礁と化した。\n', '第一次世界大戦の転換期と呼ばれるようになったスカゲラク大海戦は、その後、連合国軍がヴェルトハイム級軍用飛行船が無敵ではないという証明を示すことができた戦いでもあった。\n', '○………スカゲラク海峡………○\n', '1917年5月10日午前6時10分、デンマークから20キロ離れたスカゲラク海峡の海上で日英仏連合国軍の艦隊とドイツ海軍との史上最大の決戦が行われようとしている。\n', '一方のドイツ軍は東部戦線で余力を持て余していたドイツ海軍の弩級戦艦部隊全艦隊をシュトラールズントから出撃させ、ヴェルトハイム級軍用飛行船2隻を出撃させてスカゲラク海峡の制空権を確保し、連合国軍の艦艇を上空から砲撃しようと目論んでいた。\n', 'スカゲラク海峡の東側から魚雷攻撃を行い、連合国軍の右翼を担っていたダントン級戦艦のネームシップである「ダントン」に魚雷4本が命中し、ダントンは10分と待たずに轟沈。\n']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['昨日の爆撃機を撃墜した際に落下傘で脱出したパイロットの中に女性がいたのをハッキリ覚えている。\n'],,,,,,,,,,,,,,,,,,,,,,,"['第106戦闘飛行隊のメンバーの大半がまだバンカーに残って整備を続けている。\n', '航空自衛隊の時に培ったスクランブル発進の時の記憶が蘇り、手早く予備の飛行服に着替えるとバンカーに走っていく。\n', '航空自衛隊ではスクランブル発進のサイレンが鳴ればすぐに出撃できるように、当直は飛行服を身につけたまま待機を命じられており、一度サイレンが鳴れば猛ダッシュで戦闘機が置かれているバンカーまで走って向かう。\n', 'バンカーに到着すると、整備兵やパイロットが慌ただしく動いていた。\n', '着陸してバンカーに機体を運んで降りると、いきなり背中をバシバシと叩かれる。\n']",,['パシャパシャと幾つも写真を撮る。\n'],,,,,,,,,,['最初は自国軍のフランス軍かと思われたそうで、丁重に扱われたがパラシュートに描かれているプロセインの十字架でドイツ軍だと分かると村人の態度が一変し、薄暗い納屋に閉じ込められて早朝になってから軍の憲兵隊がやって来て引き渡されたと語った。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['「そうなると、量産したアイ・ガインズは軍事施設や要塞の司令塔といったピンポイント爆撃を担うことを想定して開発が進められているということですか…このヴェルトハイム級軍用飛行船からアイ・ガインズが出てこないことを祈りましょう…」\n'],,,,,,,,,['「…！？…ど、ドイツ海軍！！！主力艦が全速力でこちらに向かってきます！！！ドイツ海軍のカイザー級弩級戦艦2隻、ナッサウ級戦艦4隻、ヘルゴラント級戦艦4隻！！ドイッチュラント級準弩級戦艦4隻！！ブラウンシュヴァイク級準弩級戦艦4隻の計18隻です！！」\n'],,,,,,,,,,,,['「そうだ、中央同盟国…ドイツ帝国、オーストリア＝ハンガリー帝国、オスマン帝国、ブルガリア王国だな、特にドイツ軍の戦力は侮ってはいけない…あいつらの強さは桁違いだ。お前は記憶が無いから分からないかもしれないが、パリが半月前に陥落したからな…」\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['［＃中見出し］32：マリンブルー［＃中見出し終わり］\n'],,,,,,,,,,,,,,,,,,,,,,,,
