,うきうきわくわく,からからけたけた,がたがたぶるぶる,がぶがぶむしゃむしゃ,きらきらごてごて,きらきらゆらゆら,くすくすげらげら,くるくるちまちま,さくさくどんどん,さわさわそよそよ,そろそろしゃんしゃん,だらだらぐだぐだ,ちくちくうずうず,ちくちくごわごわ,ちょこちょこくるくる,ちらちらぎょろぎょろ,どきどきはらはら,どきどきわくわく,どんどんずぶずぶ,どんどんぼろぼろ,はーはーはっはっ,ぱくぱくもぐもぐ,ぱちぱちからんからん,ひらひらごわごわ,びくびくおどおど,ふかふかさらさら,ふさふさふわふわ,ふらふらどすどす,ふわふわふかふか,ぷるぷるぬるぬる,ぷんぷんかちかち,ぽかぽかばしばし,ぽりぽりこりこり,みしみしばきばき,めちゃめちゃさらさら,もじもじそわそわ,もりもりさわさわ,ゆさゆさぶんぶん,よちよちこそこそ,わいわいがやがや,わいわいきゃーきゃー,わくわくどきどき,わーわーぎゃーぎゃー
N9901EJmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
N0170DBmid,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,
N5536EDmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
N5602EMmid,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
N8376EUmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
N5945Wmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
N9316DXmid,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,2.0,
N1091EImid,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7206ERmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
N6044DUmid,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
N1083EPmid,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
N7345EQmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
N6892EQmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
N1105DJmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
N8327DZmid,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
N4983DSmid,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
N6470BMmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
N6781EUmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
N2361BYmid,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5169ELmid,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
N8307ENmid,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,
N8623EPmid,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
N8754DEmid,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
N9898CCmid,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,
N9246DYmid,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
